,WELL,GFP_Intensity,DAPI_Intensity,NucleusArea,CELL,DRUG,DRUG_CONCENTRATION,TIME_MINUTES,EU,PRIMARY,SECONDARY,CLICK,TotalNumberCells,EU_647_Intensity,IF_568_Intensity,DAPI_Intensity_2,NucleusArea_2,EXPERIMENT
50,E13,346.3537460560791,3764.4722941107184,2226.547412164715,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3392,264.55921384421663,825.8719878138469,1702.2648209505517,2200.9094955489613,260515_mACPOLR2A_CRC_EU
51,E14,346.2236522019411,3421.9244033412942,2250.0689655172414,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3789,256.65715505628924,833.536897508805,1621.7091829022957,2262.870652173913,260515_mACPOLR2A_CRC_EU
52,E15,155.54924478177108,3760.135019301253,1700.855504587156,HCT116 OsTIRF74G,5PhIAA,1000,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3784,342.92523377458474,800.2338147713389,1695.0931872746683,1679.1084959816303,260515_mACPOLR2A_CRC_EU
53,E16,154.50136133565672,3494.4899938265226,1651.6297407912687,HCT116 OsTIRF74G,No addition,0,240,No addition,Total Pol II (D84LY),Goat anti-rabbit Alexa568,No click,4132,157.94199248709822,1593.4904606794898,1618.4073526704294,1639.8996746203904,260515_mACPOLR2A_CRC_EU
54,E17,261.8858293509609,3965.7964097841036,2179.3998305802625,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,240,No addition,Total Pol II (D84LY),Goat anti-rabbit Alexa568,No click,3617,157.94229924993724,962.9594140546919,1601.7380759125044,2192.21876280213,260515_mACPOLR2A_CRC_EU
55,E18,296.7738748480956,3584.844260325258,2108.2327137546467,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,3,240,No addition,Total Pol II (D84LY),Goat anti-rabbit Alexa568,No click,3458,158.20014644003678,1202.667031939691,1591.2759021388683,2157.409794742528,260515_mACPOLR2A_CRC_EU
56,E19,348.2361978824556,4168.621246764295,2203.1011641910877,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,240,No addition,Total Pol II (D84LY),Goat anti-rabbit Alexa568,No click,4095,158.85076230209603,1544.3677960875066,1646.7725096749405,2200.778127458694,260515_mACPOLR2A_CRC_EU
57,E20,351.84802838536615,3810.014234139224,2101.2439330543934,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,240,No addition,Total Pol II (D84LY),Goat anti-rabbit Alexa568,No click,3686,158.59296836193295,1592.4551481185783,1647.8044967721623,2141.8784281620956,260515_mACPOLR2A_CRC_EU
58,E21,352.71368184264384,4509.685730133689,2038.84732492388,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,240,No addition,Total Pol II (D84LY),Goat anti-rabbit Alexa568,No click,3555,158.81551519531604,1565.5717956183503,1672.0212014894582,2038.8118644067797,260515_mACPOLR2A_CRC_EU
59,E22,155.03650211084863,3942.851342506416,1653.917469492614,HCT116 OsTIRF74G,No addition,0,240,No addition,Total Pol II (D84LY),Goat anti-rabbit Alexa568,No click,3220,157.89558887743794,1566.1734731736424,1577.9628381629618,1666.8541004450096,260515_mACPOLR2A_CRC_EU
60,F03,156.4217137336612,2739.679003626363,1677.6766020864382,HCT116 OsTIRF74G,Vehicle,0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3419,366.8858840789983,838.0731190430819,1733.145164550222,1657.8597829275448,260515_mACPOLR2A_CRC_EU
61,F04,156.5023322545885,2779.6026901260393,1706.1073690270582,HCT116 OsTIRF74G,5PhIAA,1000,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3574,341.41477644606294,824.8792722059167,1712.4232461772392,1670.7899356348742,260515_mACPOLR2A_CRC_EU
62,F05,223.0107982633176,3132.1423748163443,2253.56684698609,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,30,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3569,247.90000027031132,496.81579557626503,1614.9591588307317,2231.0071725179314,260515_mACPOLR2A_CRC_EU
63,F06,256.80565708895955,3206.815118830218,2152.447013487476,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3681,255.88585200347762,668.716120457925,1631.2358184124269,2142.8484732824427,260515_mACPOLR2A_CRC_EU
64,F07,292.57167078523617,3222.0982408936356,2231.5576995838064,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,3,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3651,252.54228614775425,678.661667169729,1504.485641597392,2227.557968347442,260515_mACPOLR2A_CRC_EU
65,F08,343.17459452982973,3384.6746774257736,2303.4814963797267,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3960,259.2786058443779,789.2927061643422,1581.789096037458,2316.888711607499,260515_mACPOLR2A_CRC_EU
66,F09,348.1384959850236,3388.935319939104,2282.8128481247677,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,4016,261.06081719631396,795.9016523894658,1646.0719320248081,2288.120753323486,260515_mACPOLR2A_CRC_EU
67,F10,225.30485794236105,3548.912549207916,2136.133216168717,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,30,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3615,245.95092520258265,488.98033719358193,1597.0034736528294,2187.1871938418476,260515_mACPOLR2A_CRC_EU
