,WELL,IF_647_Intensity,RFP_561_Intensity,GFP_488_Intensity,DAPI_Intensity,NucleusArea,CELL,DRUG,DRUG TIME MINUTES,PRIMARY,SECONDARY,TotalNumberCells,EXPERIMENT
64,G07,244.83247861383157,132.24199344287277,195.43211383154522,335.2644819539066,1783.1416216216217,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,CDK7,Goat anti-mouse Alexa647,1850,250510_mACmChPOLR2A_90min_IF
65,G08,240.65799196914617,131.2334611969365,231.78664058972296,326.76676004895086,1805.4890410958903,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,CDK7,Goat anti-mouse Alexa647,2190,250510_mACmChPOLR2A_90min_IF
66,G09,249.87994883795983,132.4545713965612,195.60174463677743,343.549319199176,1823.225927469779,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,CDK7,Goat anti-mouse Alexa647,2399,250510_mACmChPOLR2A_90min_IF
67,G10,239.14519983145928,131.14253746990562,234.41132025725767,329.1383938941486,1878.5342407486175,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,CDK7,Goat anti-mouse Alexa647,2351,250510_mACmChPOLR2A_90min_IF
68,G11,238.8179371701473,131.986936933572,194.85114511623084,325.4363213702642,1792.3792233988906,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,CDK7,Goat anti-mouse Alexa647,1983,250510_mACmChPOLR2A_90min_IF
69,G12,232.58597011031742,131.4403615610689,232.90791865540314,332.47717381999905,1792.6648101265823,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,CDK7,Goat anti-mouse Alexa647,1975,250510_mACmChPOLR2A_90min_IF
70,G13,237.5971673715941,131.05948742123707,194.12256442905723,321.390594716467,1806.5046094129063,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,CDK7,Goat anti-mouse Alexa647,2061,250510_mACmChPOLR2A_90min_IF
71,G14,237.05790544807385,131.85446437881149,234.95159575597543,334.84375512926346,1806.5306704707561,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,CDK7,Goat anti-mouse Alexa647,2103,250510_mACmChPOLR2A_90min_IF
72,G15,236.9972927960256,132.01064862202585,195.66209577930616,326.0212323046146,1872.012733060482,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,CDK7,Goat anti-mouse Alexa647,2199,250510_mACmChPOLR2A_90min_IF
73,G16,233.32757834864796,131.20004192480573,233.01542561730025,315.3471119635599,1870.9681888147768,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,CDK7,Goat anti-mouse Alexa647,1949,250510_mACmChPOLR2A_90min_IF
74,G17,126.552117085786,130.78895117198942,231.09859084956906,322.4027525272445,1863.9172857850422,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,No primary,Goat anti-mouse Alexa647,2019,250510_mACmChPOLR2A_90min_IF
75,H03,171.32253999781798,130.37289419857777,230.88733948475988,315.9927562900915,1859.0357142857142,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,CDK9,Goat anti-rabbit Alexa647,2100,250510_mACmChPOLR2A_90min_IF
76,H04,173.6161522788328,130.85329775786406,233.81361186024452,322.76283618568516,1828.421029082774,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,CDK9,Goat anti-rabbit Alexa647,2235,250510_mACmChPOLR2A_90min_IF
77,H05,172.37590900552442,131.02043373534977,193.3783779419253,320.92314421824165,1845.1749876421156,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,CDK9,Goat anti-rabbit Alexa647,2023,250510_mACmChPOLR2A_90min_IF
78,H06,170.55037039441288,131.85363359832243,235.62114081186476,336.9837261382544,1835.7964774951076,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,CDK9,Goat anti-rabbit Alexa647,2044,250510_mACmChPOLR2A_90min_IF
79,H07,172.37831938382507,131.37717841925962,193.0588014302342,328.43611816382645,1816.565811965812,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,CDK9,Goat anti-rabbit Alexa647,2340,250510_mACmChPOLR2A_90min_IF
80,H08,169.520065338104,131.09701310363806,234.52607007964036,331.71509046463996,1841.8775790921595,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,CDK9,Goat anti-rabbit Alexa647,2181,250510_mACmChPOLR2A_90min_IF
81,H09,173.34972188903774,131.76428665170803,195.93383797688068,332.0813183429898,1884.0312104597217,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,CDK9,Goat anti-rabbit Alexa647,2371,250510_mACmChPOLR2A_90min_IF
82,H10,169.92483189007578,130.56522558055994,233.72396450577085,320.4450385524873,1842.4252445272473,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,CDK9,Goat anti-rabbit Alexa647,2147,250510_mACmChPOLR2A_90min_IF
83,H11,174.30359640063878,131.93253560138254,195.16758272707128,323.6969783560908,1886.475231574708,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,CDK9,Goat anti-rabbit Alexa647,2483,250510_mACmChPOLR2A_90min_IF
84,H12,172.57574840638054,130.7613391414182,234.23304234696505,318.6647029608833,1812.2564372044142,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,CDK9,Goat anti-rabbit Alexa647,1903,250510_mACmChPOLR2A_90min_IF
85,H13,172.09150362775523,131.53466263113413,194.0766968088345,322.0050165944797,1856.8274021352313,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,CDK9,Goat anti-rabbit Alexa647,2248,250510_mACmChPOLR2A_90min_IF
86,H14,173.32643866625352,132.66761752975935,232.32587796094035,338.55050963126115,1836.943949711891,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,CDK9,Goat anti-rabbit Alexa647,1909,250510_mACmChPOLR2A_90min_IF
87,H15,172.91655788340114,132.3003827967703,195.36466267297723,334.1751821145868,1834.3246985261278,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,CDK9,Goat anti-rabbit Alexa647,2239,250510_mACmChPOLR2A_90min_IF
88,H16,172.66753924663576,131.7805243016852,234.19664033683267,330.6284719835443,1921.9801104972375,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,CDK9,Goat anti-rabbit Alexa647,2715,250510_mACmChPOLR2A_90min_IF
89,H17,124.97490175122708,131.44750790670764,234.41365778980506,329.61301691742835,1902.679751263117,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,No primary,Goat anti-rabbit Alexa647,2573,250510_mACmChPOLR2A_90min_IF
90,I03,308.59076140698494,130.7842328194723,234.40130057674156,316.29303223632957,1892.176122931442,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,Cyclin T1,Goat anti-rabbit Alexa647,1692,250510_mACmChPOLR2A_90min_IF
91,I04,313.08545640638715,131.25167064904338,236.20037865044597,328.4576201646504,1817.6272189349113,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,Cyclin T1,Goat anti-rabbit Alexa647,1859,250510_mACmChPOLR2A_90min_IF
92,I05,318.28077577869493,131.39484742836112,195.32292083107006,325.7348731101364,1765.0590121872995,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,Cyclin T1,Goat anti-rabbit Alexa647,1559,250510_mACmChPOLR2A_90min_IF
93,I06,306.8797777400032,130.77460445254334,235.1801015479011,322.99358311869537,1806.9495317377732,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,Cyclin T1,Goat anti-rabbit Alexa647,1922,250510_mACmChPOLR2A_90min_IF
94,I07,290.4117700468933,130.85752298874152,196.77776455827475,318.4182175650407,1828.276821192053,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,Cyclin T1,Goat anti-rabbit Alexa647,2265,250510_mACmChPOLR2A_90min_IF
95,I08,291.86674371765264,130.94827046123618,235.45620219176345,324.8734223119494,1767.1114769520225,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,Cyclin T1,Goat anti-rabbit Alexa647,2126,250510_mACmChPOLR2A_90min_IF
96,I09,289.0229578120762,131.2551747636763,195.80443460968675,321.69067288431665,1833.4695960940967,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,Cyclin T1,Goat anti-rabbit Alexa647,2253,250510_mACmChPOLR2A_90min_IF
97,I10,302.50416253399857,131.60561340424303,238.28838941014072,327.4125445274254,1822.4043859649123,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,Cyclin T1,Goat anti-rabbit Alexa647,2280,250510_mACmChPOLR2A_90min_IF
98,I11,293.9539667530821,132.34696949545796,198.0285513272277,329.85792821607674,1880.3087907184292,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,Cyclin T1,Goat anti-rabbit Alexa647,2241,250510_mACmChPOLR2A_90min_IF
99,I12,305.11984969999713,131.80826158943043,238.45066002161815,331.1362862905989,1781.0828544061303,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,Cyclin T1,Goat anti-rabbit Alexa647,2088,250510_mACmChPOLR2A_90min_IF
100,I13,282.8723594363458,131.60506482724,195.75624635506261,326.18352945928564,1814.0771985674492,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,Cyclin T1,Goat anti-rabbit Alexa647,2513,250510_mACmChPOLR2A_90min_IF
101,I14,289.6135124157815,132.72584565854638,245.4283093536617,335.9541979819027,1737.5282208588958,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,Cyclin T1,Goat anti-rabbit Alexa647,1630,250510_mACmChPOLR2A_90min_IF
