,WELL,IF_647_Intensity,RFP_561_Intensity,GFP_488_Intensity,DAPI_Intensity,NucleusArea,CELL,DRUG,DRUG_TIME_MINUTES,SIRNA,PRIMARY,SECONDARY,TotalNumberCells,EXPERIMENT
229,N12,2250.225669462108,290.8571296501904,526.6964956213596,816.7929674732528,1612.382144191259,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Media only,480,No transfection,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,2677,251103_mACmChPOLR2A_7SK
230,N13,2058.6982712659765,285.3273707851718,516.9146172154977,745.2487304298048,1628.4801166489926,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Media only,480,No transfection,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,3772,251103_mACmChPOLR2A_7SK
231,N14,2185.5336223042614,289.0232848203115,525.5601584733928,812.8069444721363,1611.2892695539754,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Media only,480,No transfection,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,3094,251103_mACmChPOLR2A_7SK
232,N15,2034.2911401131319,283.6364734591194,516.4599847096346,725.0445781130725,1609.2074482035143,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Media only,480,No transfection,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,3813,251103_mACmChPOLR2A_7SK
233,N16,2165.3719123781448,287.0228663152344,518.1472389848014,780.2179867646969,1663.7727564102563,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Media only,480,No transfection,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,3120,251103_mACmChPOLR2A_7SK
234,N17,2071.7781853799884,284.57296170560653,518.4842332295269,738.8994486128043,1628.3182051282051,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Media only,480,No transfection,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,3900,251103_mACmChPOLR2A_7SK
235,N18,2178.350534548463,286.00905952037056,514.2333104309589,786.2687346768816,1651.7100987575661,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Media only,480,No transfection,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,3139,251103_mACmChPOLR2A_7SK
236,N19,179.81877013564193,276.6730733976366,514.2862609879226,729.0170040886675,1623.8523160762943,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Media only,480,No transfection,No primary,Goat anti-mouse Alexa647,3670,251103_mACmChPOLR2A_7SK
237,N20,2182.077485791,287.36042675695774,514.4494257848538,806.0872371162061,1589.1304606240712,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Media only,480,No transfection,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,3365,251103_mACmChPOLR2A_7SK
238,N21,179.9622480261222,278.96132600499135,500.96045415629237,754.0232558527845,1616.4179566563469,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Media only,480,No transfection,No primary,Goat anti-mouse Alexa647,3553,251103_mACmChPOLR2A_7SK
239,N22,2356.8560608916387,280.73918468707706,491.17670286834385,768.2132594232871,1625.2448165869218,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Media only,480,No transfection,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,2508,251103_mACmChPOLR2A_7SK
