,EXPERIMENT,WELL,CELL,DRUG,DRUG_CONCENTRATION,TIME_MINUTES,TIME_IN_AUXIN_HRS,PRIMARY,SECONDARY,TotalNumberCells,GFP_488_Intensity,GFP_Intensity_BGS,GFP_Intensity_FC
86,250905_mACPOLR2A_Kinetic_pSer2,G20,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,240,4.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,3055,383.2608977188653,123.01853946961688,0.19301849754096723
87,250905_mACPOLR2A_Kinetic_pSer2,G21,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,480,8.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,3416,389.68057485261664,129.43821660336823,0.20309109668250416
88,250905_mACPOLR2A_Kinetic_pSer2,G22,HCT116 OsTIRF74G,Vehicle,0,480,0.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,1342,250.13934604468076,-10.103012204567648,-0.015851823999628367
89,250905_mACPOLR2A_Kinetic_pSer2,H03,HCT116 OsTIRF74G,5PhIAA,10000,480,8.0,Total Pol II (F12),Goat anti-mouse Alexa647,1662,267.9180499224067,7.675691673158269,0.012043310550818524
90,250905_mACPOLR2A_Kinetic_pSer2,H04,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,60,1.0,Total Pol II (F12),Goat anti-mouse Alexa647,3649,602.8680854877049,342.6257272384565,0.5375864757911687
91,250905_mACPOLR2A_Kinetic_pSer2,H05,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,120,2.0,Total Pol II (F12),Goat anti-mouse Alexa647,4187,492.2334866892447,231.99112843999632,0.3639986236820919
92,250905_mACPOLR2A_Kinetic_pSer2,H06,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,240,4.0,Total Pol II (F12),Goat anti-mouse Alexa647,3646,411.8751038944129,151.6327456451645,0.2379147473919562
93,250905_mACPOLR2A_Kinetic_pSer2,H07,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,480,8.0,Total Pol II (F12),Goat anti-mouse Alexa647,4140,409.4251857888074,149.182827539559,0.2340707779066968
94,250905_mACPOLR2A_Kinetic_pSer2,H08,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,60,1.0,Total Pol II (F12),Goat anti-mouse Alexa647,4302,614.042503041373,353.8001447921246,0.5551193557652244
95,250905_mACPOLR2A_Kinetic_pSer2,H09,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,120,2.0,Total Pol II (F12),Goat anti-mouse Alexa647,3915,477.33919656917556,217.09683831992714,0.34062919080384624
96,250905_mACPOLR2A_Kinetic_pSer2,H10,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,240,4.0,Total Pol II (F12),Goat anti-mouse Alexa647,4137,406.1321809150907,145.8898226658423,0.22890398877182122
97,250905_mACPOLR2A_Kinetic_pSer2,H11,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,480,8.0,Total Pol II (F12),Goat anti-mouse Alexa647,3880,396.62463180523645,136.38227355598804,0.21398645802895078
98,250905_mACPOLR2A_Kinetic_pSer2,H12,HCT116 OsTIRF74G,5PhIAA,10000,480,8.0,Total Pol II (F12),Goat anti-mouse Alexa647,2502,254.03667792947715,-6.205680319771261,-0.009736833949631091
99,250905_mACPOLR2A_Kinetic_pSer2,H13,HCT116 OsTIRF74G,5PhIAA,10000,480,8.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,2250,253.29867289815056,-6.943685351097855,-0.010894778296381488
100,250905_mACPOLR2A_Kinetic_pSer2,H14,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,60,1.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,3843,581.9909567648908,321.7485985156424,0.50482985198129
101,250905_mACPOLR2A_Kinetic_pSer2,H15,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,120,2.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,3935,454.21947216586653,193.97711391661812,0.304353890453771
102,250905_mACPOLR2A_Kinetic_pSer2,H16,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,240,4.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,3778,384.6127988246872,124.3704405754388,0.19513965685073262
103,250905_mACPOLR2A_Kinetic_pSer2,H17,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,480,8.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,3645,385.6433031702281,125.40094492097967,0.19675653834959697
104,250905_mACPOLR2A_Kinetic_pSer2,H18,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,60,1.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,3719,570.1428112383786,309.9004529891302,0.48623987962400206
105,250905_mACPOLR2A_Kinetic_pSer2,H19,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,120,2.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,3321,454.0205610359301,193.77820278668167,0.3040417949955576
106,250905_mACPOLR2A_Kinetic_pSer2,H20,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,240,4.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,3447,378.5983943983594,118.35603614911099,0.185702938523734
107,250905_mACPOLR2A_Kinetic_pSer2,H21,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,480,8.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,3766,374.8535699508716,114.61121170162318,0.17982723562947794
108,250905_mACPOLR2A_Kinetic_pSer2,H22,HCT116 OsTIRF74G,5PhIAA,10000,480,8.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,987,251.69939396116462,-8.542964288083795,-0.013404078267725902
