,WELL,IF_647_Intensity,RFP_561_Intensity,GFP_488_Intensity,DAPI_Intensity,NucleusArea,CELL,DRUG,TIME_MINUTES,PRIMARY,SECONDARY,TotalNumberCells,EXPERIMENT,DRUG_AND_TIME,IF_647_Intensity_BGS,IF_647_Intensity_FC,DRUG_AND_TIME_LABEL
95,G21,4823.73550212328,239.5985092572779,243.92767181678317,618.9295495568557,1679.9454297407913,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,1440,pSer5,Goat anti-rat Alexa647,733,250915_mACmChPOLR2A_PTEFB,5PhIAA_1440,4662.383151135135,0.9717157030004858,24 hrs
199,M06,4962.938097270944,223.88383188936592,455.2490015453848,580.9216508635155,1586.905604719764,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,Vehicle,1440,pSer5,Goat anti-rat Alexa647,1017,250915_mACmChPOLR2A_PTEFB,Vehicle_1440,4801.5857462828,1.0007277646905406,Vehicle
202,M09,4913.492474560627,223.56292640178606,458.4377635652092,604.1177771278592,1520.4469387755103,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,Vehicle,1440,pSer5,Goat anti-rat Alexa647,980,250915_mACmChPOLR2A_PTEFB,Vehicle_1440,4752.1401235724825,0.9904225009499243,Vehicle
205,M12,4729.247543016065,234.71040951258257,263.93964831855095,574.0485130420669,1674.018779342723,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,240,pSer5,Goat anti-rat Alexa647,1065,250915_mACmChPOLR2A_PTEFB,5PhIAA_240,4567.8951920279205,0.9520228912703742,4 hrs
208,M15,4788.341904002996,237.543413941517,259.7044044534481,617.0367500249986,1598.2221105527638,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,240,pSer5,Goat anti-rat Alexa647,995,250915_mACmChPOLR2A_PTEFB,5PhIAA_240,4626.9895530148515,0.9643391073916939,4 hrs
211,M18,4722.200190791932,238.74087155770908,250.9738395251765,600.4751528882883,1640.9789603960396,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,1440,pSer5,Goat anti-rat Alexa647,808,250915_mACmChPOLR2A_PTEFB,5PhIAA_1440,4560.847839803788,0.9505541096197074,24 hrs
214,M21,4443.99587119765,235.69335830510562,248.59906780672992,583.3050463068643,1721.470254957507,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,1440,pSer5,Goat anti-rat Alexa647,1059,250915_mACmChPOLR2A_PTEFB,5PhIAA_1440,4282.643520209505,0.8925718509272805,24 hrs
100,H06,1876.2813096136522,216.110073101829,444.7099706296113,628.4985995478106,1732.5512915129152,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,Vehicle,1440,pSer2,Goat anti-rat Alexa647,1355,250915_mACmChPOLR2A_PTEFB,Vehicle_1440,1714.9289586255077,1.006593876855595,Vehicle
103,H09,1734.4391128676557,211.35895335108137,433.8781074949305,596.0994945915801,1652.7645772594751,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,Vehicle,1440,pSer2,Goat anti-rat Alexa647,1372,250915_mACmChPOLR2A_PTEFB,Vehicle_1440,1573.0867618795112,0.9233382492646418,Vehicle
106,H12,1813.5394104000638,228.7624474311396,250.54605723389332,637.6665909256176,1640.6797556719023,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,240,pSer2,Goat anti-rat Alexa647,1146,250915_mACmChPOLR2A_PTEFB,5PhIAA_240,1652.1870594119193,0.969766921865397,4 hrs
