,EXPERIMENT,WELL,CELL,DRUG,TIME_MINUTES,PRIMARY,SECONDARY,TotalNumberCells,GFP_488_Intensity,RFP_561_Intensity,IF_647_Intensity,IF_647_Intensity_BGS,IF_647_Intensity_FC
125,251007_mACmChPOLR2A_PTEFB,I19,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,1440,CDK7,Goat anti-mouse Alexa647,2900,894.0744924870869,197.46735079702802,1013.4125729399433,809.0316139547771,0.8941038920555509
10,251007_mACmChPOLR2A_PTEFB,D04,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1440,pSer5,Goat anti-rat Alexa647,1155,420.8522613074429,214.35687932225994,2459.610452868555,2255.229493883389,0.673817508683164
13,251007_mACmChPOLR2A_PTEFB,D07,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1440,pSer5,Goat anti-rat Alexa647,1292,398.9898466015266,197.97388770615814,1845.2603447686558,1640.8793857834896,0.4902619723522299
16,251007_mACmChPOLR2A_PTEFB,D10,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,240,pSer5,Goat anti-rat Alexa647,2685,375.33528143503713,186.26891706484895,1261.3908168135677,1057.0098578284014,0.3158134243043499
19,251007_mACmChPOLR2A_PTEFB,D13,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,240,pSer5,Goat anti-rat Alexa647,2308,384.63166580187357,187.65704034792816,1282.2325795519662,1077.8516205668,0.32204052654961673
22,251007_mACmChPOLR2A_PTEFB,D16,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,1440,pSer5,Goat anti-rat Alexa647,2159,883.4610594569219,202.14929930209965,3851.806877148939,3647.4259181637726,1.089777981331507
25,251007_mACmChPOLR2A_PTEFB,D19,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,1440,pSer5,Goat anti-rat Alexa647,2436,910.6832738007522,206.23606370420205,3254.367903272965,3049.986944287799,0.9112751539876969
130,251007_mACmChPOLR2A_PTEFB,J04,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1440,pSer5,Goat anti-rat Alexa647,1032,413.14973060353344,208.15235038724023,1856.4678002223852,1652.086841237219,0.493610536093965
133,251007_mACmChPOLR2A_PTEFB,J07,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1440,pSer5,Goat anti-rat Alexa647,1568,386.9591571644689,189.30645410253888,1599.2462251346672,1394.865266149501,0.41675786926992625
136,251007_mACmChPOLR2A_PTEFB,J10,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,240,pSer5,Goat anti-rat Alexa647,2797,381.10069786973344,187.2544828153004,1317.8995097778143,1113.518550792648,0.3326970926030225
139,251007_mACmChPOLR2A_PTEFB,J13,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,240,pSer5,Goat anti-rat Alexa647,2460,377.2394542801375,186.59677862241048,1416.581020344854,1212.2000613596879,0.36218115610242096
142,251007_mACmChPOLR2A_PTEFB,J16,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,1440,pSer5,Goat anti-rat Alexa647,2966,859.1196808385477,194.4618358679943,3386.785532082725,3182.4045730975586,0.9508388955015075
145,251007_mACmChPOLR2A_PTEFB,J19,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,1440,pSer5,Goat anti-rat Alexa647,2753,909.3557038684139,202.3805288103901,3712.339678381996,3507.9587193968296,1.048107969179289
30,251007_mACmChPOLR2A_PTEFB,E04,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1440,pSer2,Goat anti-rat Alexa647,1186,424.4495784408219,208.11353875511648,1121.185218676811,916.8042596916448,0.9803179105281759
33,251007_mACmChPOLR2A_PTEFB,E07,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1440,pSer2,Goat anti-rat Alexa647,1069,384.8177570104612,188.62876660844668,685.7517259141765,481.3707669290103,0.5147187956826347
36,251007_mACmChPOLR2A_PTEFB,E10,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,240,pSer2,Goat anti-rat Alexa647,2938,390.40357460189955,190.01307401422295,745.0171461552927,540.6361871701265,0.5780899595086908
39,251007_mACmChPOLR2A_PTEFB,E13,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,240,pSer2,Goat anti-rat Alexa647,3059,391.97073191305554,191.15642653140748,749.7099724458307,545.3290134606644,0.5831078917608371
42,251007_mACmChPOLR2A_PTEFB,E16,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,1440,pSer2,Goat anti-rat Alexa647,2534,871.515552154695,197.2925150701911,1134.1727628083106,929.7918038231444,0.9942051956179794
45,251007_mACmChPOLR2A_PTEFB,E19,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,1440,pSer2,Goat anti-rat Alexa647,2721,868.450602636571,197.9282611703808,1031.3206764316283,826.939717446462,0.8842278025764541
150,251007_mACmChPOLR2A_PTEFB,K04,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1440,pSer2,Goat anti-rat Alexa647,1090,412.9744271859852,226.69653690919685,927.9311248615289,723.5501658763627,0.7736757102468065
153,251007_mACmChPOLR2A_PTEFB,K07,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1440,pSer2,Goat anti-rat Alexa647,1143,404.4232352430241,200.21670433101693,995.1782916561616,790.7973326709954,0.84558157384219
156,251007_mACmChPOLR2A_PTEFB,K10,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,240,pSer2,Goat anti-rat Alexa647,2752,383.90693502132785,187.97864726768532,817.8062040488732,613.4252450637069,0.6559216410145653
