,WELL,IF_647_Intensity,RFP_561_Intensity,GFP_488_Intensity,DAPI_Intensity,NucleusArea,CELL,DRUG,TIME_MINUTES,PRIMARY,SECONDARY,TotalNumberCells,EXPERIMENT,DRUG_AND_TIME,IF_647_Intensity_BGS,IF_647_Intensity_FC,DRUG_AND_TIME_LABEL
224,N11,1234.4202863018625,158.29638342384885,359.72846327188483,532.2063602216879,1947.2990595611286,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,240,pSer2,Goat anti-rat Alexa647,1595,250915_mACmChPOLR2A_PTEFB,5PhIAA_240,1073.067935313718,0.8022784254290114,4 hrs
227,N14,1183.0540282202567,156.68791443368954,349.5152601598119,520.5408499635801,2003.7955215085444,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,240,pSer2,Goat anti-rat Alexa647,1697,250915_mACmChPOLR2A_PTEFB,5PhIAA_240,1021.7016772321122,0.7638744816546194,4 hrs
230,N17,1308.2202387496627,164.29018758571007,346.6316755675476,625.1758079310092,1734.2107329842931,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1440,pSer2,Goat anti-rat Alexa647,764,250915_mACmChPOLR2A_PTEFB,5PhIAA_1440,1146.8678877615182,0.8574549037283534,24 hrs
233,N20,1296.1750751706943,158.0621853966008,342.48333585000296,563.732208030488,1806.1724137931035,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1440,pSer2,Goat anti-rat Alexa647,580,250915_mACmChPOLR2A_PTEFB,5PhIAA_1440,1134.8227241825498,0.8484493463427025,24 hrs
2,C16,1313.322289776304,200.4878966380049,882.6183390636413,655.234808742759,1815.093427230047,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,1440,CDK7,Goat anti-mouse Alexa647,2130,251007_mACmChPOLR2A_PTEFB,Vehicle_1440,1108.9413307911377,1.2255500808860125,Vehicle
5,C19,1198.7652107865924,210.02736821363584,927.1571294970222,699.5525236677712,1865.319623971798,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,1440,CDK7,Goat anti-mouse Alexa647,1702,251007_mACmChPOLR2A_PTEFB,Vehicle_1440,994.3842518014262,1.0989469563350087,Vehicle
110,I04,1109.9941331799837,205.3805691943346,419.62104834494403,790.3796012932256,1536.9129629629629,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1440,CDK7,Goat anti-mouse Alexa647,1080,251007_mACmChPOLR2A_PTEFB,5PhIAA_1440,905.6131741948175,1.000841314205589,24 hrs
113,I07,990.647818954047,200.75954506788284,399.95089478485426,731.2942977082064,1621.0570547417117,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1440,CDK7,Goat anti-mouse Alexa647,1297,251007_mACmChPOLR2A_PTEFB,5PhIAA_1440,786.2668599688808,0.8689453509189684,24 hrs
116,I10,1046.1431417519523,199.6595243964867,416.35284859128694,648.9522220876315,1864.8798972382788,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,240,CDK7,Goat anti-mouse Alexa647,3114,251007_mACmChPOLR2A_PTEFB,5PhIAA_240,841.762182766786,0.930276185522497,4 hrs
119,I13,1068.3452247994105,195.96510118519876,404.0376217985567,666.668020687643,1878.0438683948155,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,240,CDK7,Goat anti-mouse Alexa647,3009,251007_mACmChPOLR2A_PTEFB,5PhIAA_240,863.9642658142443,0.9548128890604908,4 hrs
