,EXPERIMENT,WELL,CELL,DRUG,TIME_MINUTES,PRIMARY,SECONDARY,TotalNumberCells,GFP_488_Intensity,RFP_561_Intensity,IF_647_Intensity,IF_647_Intensity_BGS,IF_647_Intensity_FC
138,251007_mACmChPOLR2A_PTEFB,J12,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,240,pSer5,Goat anti-rat Alexa647,1367,300.2485310098671,306.1050015673992,3885.3861616140384,3681.005202628872,0.8570163859514802
141,251007_mACmChPOLR2A_PTEFB,J15,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,240,pSer5,Goat anti-rat Alexa647,1130,308.8925939326464,317.6342311081246,4126.728090634946,3922.34713164978,0.9132059256023185
144,251007_mACmChPOLR2A_PTEFB,J18,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,Vehicle,1440,pSer5,Goat anti-rat Alexa647,1225,564.0717064319856,297.0145575240761,4316.138173526806,4111.75721454164,0.9573046257581407
147,251007_mACmChPOLR2A_PTEFB,J21,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,Vehicle,1440,pSer5,Goat anti-rat Alexa647,869,587.881355747037,310.15902956022,4964.750785412983,4760.369826427816,1.108315451856472
32,251007_mACmChPOLR2A_PTEFB,E06,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,1440,pSer2,Goat anti-rat Alexa647,850,293.6740841490941,309.63253876828946,1068.052826523574,863.6718675384077,0.6443256535669116
35,251007_mACmChPOLR2A_PTEFB,E09,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,1440,pSer2,Goat anti-rat Alexa647,1067,290.72920464314643,313.6209174118474,1293.3142020524692,1088.933243067303,0.8123775358456666
38,251007_mACmChPOLR2A_PTEFB,E12,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,240,pSer2,Goat anti-rat Alexa647,1049,303.0505107983706,297.899743099733,1223.185356146456,1018.8043971612897,0.7600592698807562
41,251007_mACmChPOLR2A_PTEFB,E15,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,240,pSer2,Goat anti-rat Alexa647,963,300.4793636819711,309.8205906633929,1320.3718979686305,1115.9909389834643,0.8325634053413176
44,251007_mACmChPOLR2A_PTEFB,E18,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,Vehicle,1440,pSer2,Goat anti-rat Alexa647,1225,562.7141327675706,296.81943936881964,1425.120392136047,1220.7394331508808,0.9107089887524492
47,251007_mACmChPOLR2A_PTEFB,E21,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,Vehicle,1440,pSer2,Goat anti-rat Alexa647,791,582.7082879389305,305.18082459613044,1582.3289611091761,1377.94800212401,1.0279913939772851
152,251007_mACmChPOLR2A_PTEFB,K06,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,1440,pSer2,Goat anti-rat Alexa647,1246,298.5294713375009,319.78618432943557,1454.9712569697904,1250.5902979846242,0.9329786477704719
155,251007_mACmChPOLR2A_PTEFB,K09,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,1440,pSer2,Goat anti-rat Alexa647,1227,300.2384819442534,315.3223333627445,1415.3846707789505,1211.0037117937843,0.9034458425714401
158,251007_mACmChPOLR2A_PTEFB,K12,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,240,pSer2,Goat anti-rat Alexa647,1673,288.35724899580396,282.93441900325314,1272.9466610304214,1068.5657020452552,0.7971827267129051
161,251007_mACmChPOLR2A_PTEFB,K15,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,240,pSer2,Goat anti-rat Alexa647,971,301.91956550270896,308.2248768765484,1505.9388128858607,1301.5578539006945,0.971002004800646
