,WELL,IF_647_Intensity,IF_561_Intensity,GFP_488_Intensity,DAPI_Intensity,NucleusArea,CELL,DRUG,DRUG_CONCENTRATION,TIME_MINUTES,PRIMARY,SECONDARY,TotalNumberCells,EXPERIMENT,ROW,COLUMN
75,F18,1294.2395628665392,487.1664500798196,449.90585434655827,393.1175912652397,2363.6747474747476,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,60,Total Pol II (F12),Goat anti-mouse Alexa568,1980,260522_mACPOLR2A_Kinetic_pSer2,F,18
76,F19,1016.6521911979687,422.432033756498,397.34164614386424,382.33667525760364,2500.2295233688105,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,120,Total Pol II (F12),Goat anti-mouse Alexa568,2161,260522_mACPOLR2A_Kinetic_pSer2,F,19
77,F20,937.5911451815628,401.63506903491884,359.0574723756394,391.3009651066912,2423.2211789254043,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,240,Total Pol II (F12),Goat anti-mouse Alexa568,1917,260522_mACPOLR2A_Kinetic_pSer2,F,20
78,F21,1175.6456060804483,472.86903098472555,371.4641351503225,397.4514320536116,2223.9591360186805,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,480,Total Pol II (F12),Goat anti-mouse Alexa568,1713,260522_mACPOLR2A_Kinetic_pSer2,F,21
79,F22,2749.711252705534,750.1749731240003,243.46389494000383,390.91336970734665,1716.2696115765423,HCT116 OsTIRF74G,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa568,2626,260522_mACPOLR2A_Kinetic_pSer2,F,22
80,G03,2177.3280891675677,1080.3755310703446,244.19488029607186,407.2842787466826,1745.1937931034483,HCT116 OsTIRF74G,Vehicle,0,480,pSer2 Pol II (3E10),Goat anti-rat Alexa568,2900,260522_mACPOLR2A_Kinetic_pSer2,G,03
81,G04,1002.0050185205973,879.4900109947004,425.20182467198305,392.8207475913236,2529.900437105391,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,60,pSer2 Pol II (3E10),Goat anti-rat Alexa568,2059,260522_mACPOLR2A_Kinetic_pSer2,G,04
82,G05,774.7527319320101,789.4699317879646,369.4585516556128,395.58128489671986,2464.215996578272,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,120,pSer2 Pol II (3E10),Goat anti-rat Alexa568,2338,260522_mACPOLR2A_Kinetic_pSer2,G,05
83,G06,679.2612787071063,711.296651287471,330.7812297237161,386.11704824466744,2249.0457294028724,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,240,pSer2 Pol II (3E10),Goat anti-rat Alexa568,2646,260522_mACPOLR2A_Kinetic_pSer2,G,06
84,G07,749.6358295941006,735.7448111372241,328.57826364993736,372.76055621237094,2370.0107962213224,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,480,pSer2 Pol II (3E10),Goat anti-rat Alexa568,2223,260522_mACPOLR2A_Kinetic_pSer2,G,07
85,G08,1037.4692343907564,869.3426659644649,431.18154044916236,387.1075471849113,2344.3297872340427,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,60,pSer2 Pol II (3E10),Goat anti-rat Alexa568,2256,260522_mACPOLR2A_Kinetic_pSer2,G,08
86,G09,757.0266338792865,755.2079896740582,357.4621917284704,370.62415015133087,2375.649178832117,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,120,pSer2 Pol II (3E10),Goat anti-rat Alexa568,2192,260522_mACPOLR2A_Kinetic_pSer2,G,09
87,G10,651.265946889068,692.2965922975849,306.3065048986281,370.9779887742583,2409.4759194395797,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,240,pSer2 Pol II (3E10),Goat anti-rat Alexa568,2284,260522_mACPOLR2A_Kinetic_pSer2,G,10
88,G11,788.0029794405787,719.6434131056191,321.0249449871257,360.615913018483,2265.989247311828,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,480,pSer2 Pol II (3E10),Goat anti-rat Alexa568,2511,260522_mACPOLR2A_Kinetic_pSer2,G,11
89,G12,2149.729745405399,953.3702140843369,220.87251034207756,367.3430840365545,1643.8238993710693,HCT116 OsTIRF74G,Vehicle,0,480,pSer2 Pol II (3E10),Goat anti-rat Alexa568,4452,260522_mACPOLR2A_Kinetic_pSer2,G,12
90,G13,2488.975460626585,674.1245363906373,221.0021723872832,379.01152733094045,1677.42758444217,HCT116 OsTIRF74G,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa568,3908,260522_mACPOLR2A_Kinetic_pSer2,G,13
91,G14,1237.5424849362926,446.17351391406754,422.1111129742835,379.4290580526101,2227.607824427481,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,60,Total Pol II (F12),Goat anti-mouse Alexa568,2096,260522_mACPOLR2A_Kinetic_pSer2,G,14
92,G15,905.6612678886539,368.4651674038291,360.36004269865623,371.30284740352306,2321.7754532775452,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,120,Total Pol II (F12),Goat anti-mouse Alexa568,2151,260522_mACPOLR2A_Kinetic_pSer2,G,15
93,G16,787.4952097152461,338.1337274129922,313.9075114350924,379.4504140179919,2236.8483786152497,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,240,Total Pol II (F12),Goat anti-mouse Alexa568,2282,260522_mACPOLR2A_Kinetic_pSer2,G,16
94,G17,844.4727355343771,350.6091657439215,317.1748061600788,354.10279102315565,2346.895382100531,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,480,Total Pol II (F12),Goat anti-mouse Alexa568,2447,260522_mACPOLR2A_Kinetic_pSer2,G,17
95,G18,1193.6806579882877,442.95174109440336,432.1247085537908,388.07977410083726,2406.887089715536,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,60,Total Pol II (F12),Goat anti-mouse Alexa568,2285,260522_mACPOLR2A_Kinetic_pSer2,G,18
96,G19,894.0205469770738,368.5035155006526,374.924963257561,381.4098291276381,2346.256628787879,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,120,Total Pol II (F12),Goat anti-mouse Alexa568,2112,260522_mACPOLR2A_Kinetic_pSer2,G,19
97,G20,781.9461621817129,343.5107434962416,333.9620245004014,395.93263953186204,2397.8092723004693,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,240,Total Pol II (F12),Goat anti-mouse Alexa568,1704,260522_mACPOLR2A_Kinetic_pSer2,G,20
