gene_id	hgnc_symbol	condition	coverage	dataset	target	treatment
ENSG00000116691	MIIP	WT	23.0761819	TSS	Total Pol II	UNT
ENSG00000116691	MIIP	ARMC5.KO	32.00100333	TSS	Total Pol II	UNT
ENSG00000162496	DHRS3	WT	16.37387048	TSS	Total Pol II	UNT
ENSG00000162496	DHRS3	ARMC5.KO	24.43407762	TSS	Total Pol II	UNT
ENSG00000175147	TMEM51-AS1	WT	7.1978205	TSS	Total Pol II	UNT
ENSG00000175147	TMEM51-AS1	ARMC5.KO	11.13295095	TSS	Total Pol II	UNT
ENSG00000142634	EFHD2	WT	7.217864286	TSS	Total Pol II	UNT
ENSG00000142634	EFHD2	ARMC5.KO	10.31909429	TSS	Total Pol II	UNT
ENSG00000132906	CASP9	WT	9.246703333	TSS	Total Pol II	UNT
ENSG00000132906	CASP9	ARMC5.KO	13.85405048	TSS	Total Pol II	UNT
ENSG00000116138	DNAJC16	WT	11.62878905	TSS	Total Pol II	UNT
ENSG00000116138	DNAJC16	ARMC5.KO	17.47598714	TSS	Total Pol II	UNT
ENSG00000197312	DDI2	WT	13.81037667	TSS	Total Pol II	UNT
ENSG00000197312	DDI2	ARMC5.KO	23.07974286	TSS	Total Pol II	UNT
ENSG00000065526	SPEN	WT	31.95530952	TSS	Total Pol II	UNT
ENSG00000065526	SPEN	ARMC5.KO	41.32608095	TSS	Total Pol II	UNT
ENSG00000179743	SPEN-AS1	WT	20.02575238	TSS	Total Pol II	UNT
ENSG00000179743	SPEN-AS1	ARMC5.KO	22.2410381	TSS	Total Pol II	UNT
ENSG00000116809	ZBTB17	WT	9.001225789	TSS	Total Pol II	UNT
ENSG00000116809	ZBTB17	ARMC5.KO	14.45046095	TSS	Total Pol II	UNT
ENSG00000142627	EPHA2	WT	10.69314	TSS	Total Pol II	UNT
ENSG00000142627	EPHA2	ARMC5.KO	15.73647048	TSS	Total Pol II	UNT
ENSG00000132881	CPLANE2	WT	15.26938105	TSS	Total Pol II	UNT
ENSG00000132881	CPLANE2	ARMC5.KO	21.79373048	TSS	Total Pol II	UNT
ENSG00000037637	FBXO42	WT	14.09679619	TSS	Total Pol II	UNT
