,EXPERIMENT,WELL,CELL,DRUG,DRUG TIME MINUTES,PRIMARY,SECONDARY,TotalNumberCells,IF_647_Intensity_BGS,IF_647_Intensity_FC
26,250510_mACmChPOLR2A_90min_IF,D14,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,pSer5 3E8,Goat anti-rat Alexa647,1965,461.1498375405262,1.0034141107866767
27,250510_mACmChPOLR2A_90min_IF,D15,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,pSer5 3E8,Goat anti-rat Alexa647,1821,424.9298031851965,0.924603081037323
31,250510_mACmChPOLR2A_90min_IF,E04,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,pSer2 3E10,Goat anti-rat Alexa647,1888,167.5153359713176,1.011862519018325
32,250510_mACmChPOLR2A_90min_IF,E05,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,pSer2 3E10,Goat anti-rat Alexa647,1904,164.26685600165024,0.9922403446900535
33,250510_mACmChPOLR2A_90min_IF,E06,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,pSer2 3E10,Goat anti-rat Alexa647,1766,178.53028618123147,1.07839741387818
34,250510_mACmChPOLR2A_90min_IF,E07,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,pSer2 3E10,Goat anti-rat Alexa647,1986,161.15379902258593,0.9734361817253985
35,250510_mACmChPOLR2A_90min_IF,E08,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,pSer2 3E10,Goat anti-rat Alexa647,2212,152.88795662997433,0.9235070450484525
36,250510_mACmChPOLR2A_90min_IF,E09,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,pSer2 3E10,Goat anti-rat Alexa647,1763,154.90579890659603,0.9356956542713938
37,250510_mACmChPOLR2A_90min_IF,E10,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,pSer2 3E10,Goat anti-rat Alexa647,2245,161.03521149228345,0.9727198635659878
38,250510_mACmChPOLR2A_90min_IF,E11,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,pSer2 3E10,Goat anti-rat Alexa647,2386,155.16795393510716,0.937279180018362
39,250510_mACmChPOLR2A_90min_IF,E12,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,pSer2 3E10,Goat anti-rat Alexa647,2130,168.1319727138473,1.0155872622127164
40,250510_mACmChPOLR2A_90min_IF,E13,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,pSer2 3E10,Goat anti-rat Alexa647,2289,166.72028209635295,1.0070600619058925
41,250510_mACmChPOLR2A_90min_IF,E14,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,pSer2 3E10,Goat anti-rat Alexa647,1912,165.2081074723368,0.9979258962763373
42,250510_mACmChPOLR2A_90min_IF,E15,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,pSer2 3E10,Goat anti-rat Alexa647,2161,153.96541361922147,0.9300153347936982
46,250510_mACmChPOLR2A_90min_IF,F04,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,Total Pol II F12,Goat anti-mouse Alexa647,2162,135.6103026912836,0.988501474354019
47,250510_mACmChPOLR2A_90min_IF,F05,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,Total Pol II F12,Goat anti-mouse Alexa647,2244,99.45100985442663,0.7249262623570233
48,250510_mACmChPOLR2A_90min_IF,F06,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,Total Pol II F12,Goat anti-mouse Alexa647,2215,133.21508752807893,0.9710420802428434
49,250510_mACmChPOLR2A_90min_IF,F07,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,Total Pol II F12,Goat anti-mouse Alexa647,2244,100.13841288515779,0.729936935557127
50,250510_mACmChPOLR2A_90min_IF,F08,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,Total Pol II F12,Goat anti-mouse Alexa647,1975,139.18363113534923,1.0145484661032458
