,WELL,IF_647_Intensity,RFP_561_Intensity,GFP_488_Intensity,DAPI_Intensity,NucleusArea,CELL,DRUG,DRUG TIME MINUTES,PRIMARY,SECONDARY,TotalNumberCells,EXPERIMENT,IF_647_Intensity_BGS,IF_647_Intensity_FC
100,I13,402.39432477485997,161.24574678694395,217.01307214998556,459.5297623226768,1739.860465116279,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,Cyclin T1,Goat anti-rabbit Alexa647,1075,250324_mACmChPOLR2A_90min_IF,275.20312619569904,0.9731414345967646
101,I14,418.15821572227105,161.45562338151169,328.3195388662654,467.91319015752805,1616.2657502863688,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,Cyclin T1,Goat anti-rabbit Alexa647,873,250324_mACmChPOLR2A_90min_IF,290.96701714311007,1.028883880779886
102,I15,390.6045884376797,162.55845201141028,216.9798823621168,455.21146516532093,1642.734375,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,Cyclin T1,Goat anti-rabbit Alexa647,960,250324_mACmChPOLR2A_90min_IF,263.4133898585187,0.9314519338585983
106,J04,621.6530235458133,161.1837067534304,332.72167398105285,428.6929350226482,1622.2918660287082,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,GTF2B,Goat anti-rabbit Alexa647,627,250324_mACmChPOLR2A_90min_IF,494.46182496665233,0.9967443703183965
107,J05,674.3324012865454,161.52841351185631,220.84921095497256,435.6267720801785,1666.8257425742574,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,GTF2B,Goat anti-rabbit Alexa647,1010,250324_mACmChPOLR2A_90min_IF,547.1412027073844,1.1029363360955162
108,J06,607.4573549378239,157.29771655607598,322.07563535779417,416.8413002781975,1745.2687038988408,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,GTF2B,Goat anti-rabbit Alexa647,949,250324_mACmChPOLR2A_90min_IF,480.2661563586629,0.9681285054457679
109,J07,645.0549958448112,159.47699595679185,219.05857691520498,431.3744938701346,1694.9628482972137,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,GTF2B,Goat anti-rabbit Alexa647,969,250324_mACmChPOLR2A_90min_IF,517.8637972656502,1.0439184552843013
110,J08,596.3031353046458,159.14675333068007,307.6550493646488,431.48343971557466,1716.6175548589342,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,GTF2B,Goat anti-rabbit Alexa647,957,250324_mACmChPOLR2A_90min_IF,469.11193672548484,0.9456436439998616
111,J09,617.2926675144846,157.51051425081246,217.32517926473307,421.4680379633058,1765.84243697479,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,GTF2B,Goat anti-rabbit Alexa647,952,250324_mACmChPOLR2A_90min_IF,490.1014689353236,0.9879546921119872
112,J10,610.4071299950926,158.81902378958483,323.93799475710983,446.36840759146804,1690.022198731501,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,GTF2B,Goat anti-rabbit Alexa647,946,250324_mACmChPOLR2A_90min_IF,483.21593141593166,0.9740747110648499
113,J11,661.5556967916839,160.96510329184406,218.30202789954055,435.76595494532944,1691.8899889989,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,GTF2B,Goat anti-rabbit Alexa647,909,250324_mACmChPOLR2A_90min_IF,534.3644982125229,1.077180842681371
