,EXPERIMENT,WELL,CELL,DRUG_1,DRUG_TIME_MINUTES_1,DRUG_2,DRUG_TIME_MINUTES_2,TIME_HOUR,TotalNumberCells,RFP_561_Intensity,RFP_561_Intensity_BGS,RFP_561_Intensity_NORM2
189,250407_mACmChPOLR2A_Inhibitors,M12,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,480,Cycloheximide 50 µg/mL,480,8.0,519,157.95559996284177,20.609625558456514,0.4524723795274504
190,250407_mACmChPOLR2A_Inhibitors,M13,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,480,Vehicle,480,8.0,965,190.08278696831664,52.73681256393138,1.1578061426595967
191,250407_mACmChPOLR2A_Inhibitors,M14,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,480,Leptomycin 10 ng/mL,480,8.0,1125,158.2357667739046,20.88979236951934,0.45862327942161174
192,250407_mACmChPOLR2A_Inhibitors,M15,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,480,Cycloheximide 50 µg/mL,480,8.0,440,162.44474374409376,25.098769339708497,0.5510289284071314
193,250407_mACmChPOLR2A_Inhibitors,M16,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,480,Vehicle,480,8.0,1074,186.47205938570949,49.126084981324226,1.0785347121091617
194,250407_mACmChPOLR2A_Inhibitors,M17,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,480,Leptomycin 10 ng/mL,480,8.0,925,165.79256789173357,28.44659348734831,0.6245284664761525
195,250407_mACmChPOLR2A_Inhibitors,M18,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,480,Cycloheximide 50 µg/mL,480,8.0,608,161.03798917538433,23.692014770999066,0.520144447497487
196,250407_mACmChPOLR2A_Inhibitors,M19,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,480,Vehicle,480,8.0,948,192.551526720539,55.20555231615373,1.2120058925266541
197,250407_mACmChPOLR2A_Inhibitors,M20,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,480,Leptomycin 10 ng/mL,480,8.0,1259,158.33563143681647,20.98965703243121,0.4608157501935953
198,250407_mACmChPOLR2A_Inhibitors,M21,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,480,Cycloheximide 50 µg/mL,480,8.0,365,162.83681935356265,25.490844949177387,0.5596367210847752
