,WELL,IF_561_Intensity,GFP_Intensity,DAPI_Intensity,NucleusArea,CELL,EU,DRUG,DRUG TIME HOURS,PRIMARY,SECONDARY,TotalNumberCells,Alexa647_Intensity,NucleusArea2,EXPERIMENT
83,G06,497.5764168594933,252.7419025484654,421.4567264932705,1599.9029826286464,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,"EU 1 mM, 30 mins",10 µM 5PhIAA,48,Total Pol II F12,Goat anti-mouse Alexa647,4554,158.73621725687244,1484.0471986417658,250203_ARMC5mAC_TotalPolII
84,G07,367.62847817279464,251.42348515752977,423.66672949516976,1690.825075398535,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",Vehicle,48,Total Pol II F12,Goat anti-mouse Alexa647,2241,162.08232892654385,1587.4615718627877,250203_ARMC5mAC_TotalPolII
85,G08,447.33611745827335,294.8680990838139,523.1302332669501,1590.7389261744966,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,"EU 1 mM, 30 mins",Vehicle,48,Total Pol II F12,Goat anti-mouse Alexa647,2561,160.62014042696205,1489.5354969574037,250203_ARMC5mAC_TotalPolII
86,G09,360.922380501132,295.37480001479236,422.48445168478526,1533.5310049893087,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,"EU 1 mM, 30 mins",Vehicle,48,Total Pol II F12,Goat anti-mouse Alexa647,4228,155.8495035693955,1399.512371526456,250203_ARMC5mAC_TotalPolII
87,G10,373.84948922008397,245.82642666271775,432.52232486486247,1639.7938144329896,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",10 µM 5PhIAA,48,Total Pol II F12,Goat anti-mouse Alexa647,1877,168.3367141416515,1517.06320754717,250203_ARMC5mAC_TotalPolII
88,G11,648.1170153618407,248.16471007488542,490.91452577149835,1664.767162066525,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,"EU 1 mM, 30 mins",10 µM 5PhIAA,48,Total Pol II F12,Goat anti-mouse Alexa647,2422,156.07543090383817,1592.7443502824858,250203_ARMC5mAC_TotalPolII
89,G12,564.3141319438506,251.0618567859145,433.08783553884206,1587.7470039946738,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,"EU 1 mM, 30 mins",10 µM 5PhIAA,48,Total Pol II F12,Goat anti-mouse Alexa647,4479,161.1072589721596,1469.2321109123434,250203_ARMC5mAC_TotalPolII
90,G13,368.57366530431335,247.8286113343869,452.737223683887,1637.8093220338983,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",Vehicle,48,Total Pol II F12,Goat anti-mouse Alexa647,1944,162.91093551064534,1546.2467382962395,250203_ARMC5mAC_TotalPolII
91,G14,397.41443491196134,294.36265053628324,506.79170103955505,1653.6428169014084,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,"EU 1 mM, 30 mins",Vehicle,48,Total Pol II F12,Goat anti-mouse Alexa647,2378,155.620770838736,1554.608573040045,250203_ARMC5mAC_TotalPolII
92,G15,377.3109284209938,299.82390888558507,451.2636297476564,1535.5516764604217,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,"EU 1 mM, 30 mins",Vehicle,48,Total Pol II F12,Goat anti-mouse Alexa647,3855,157.1188699243815,1418.0353627415238,250203_ARMC5mAC_TotalPolII
