,WELL,IF_647_Intensity,RFP_561_Intensity,GFP_488_Intensity,DAPI_Intensity,NucleusArea,CELL,DRUG,DRUG_TIME_MINUTES,SIRNA,PRIMARY,SECONDARY,TotalNumberCells,EXPERIMENT,GFP_Intensity_BGS,GFP_Intensity_FC,RFP_Intensity_BGS,RFP_Intensity_FC,TIME_IN_AUXIN
53,E16,2578.2572575726776,261.3393687796742,931.6916708320641,456.09161274867,1579.1666666666667,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,1776,250825_mACmChPOLR2A_ARMC5,674.3164205118222,2.1638424385165824,110.08206373293854,1.37314207386744,0.0
54,E17,2681.084382337049,269.75939111717105,1022.2118767498959,470.2898583738454,1507.6226012793177,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,480,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,1876,250825_mACmChPOLR2A_ARMC5,764.836626429654,2.4543165500020967,118.50208607043538,1.4781717811826114,0.0
55,E18,2533.8998603859654,264.41414791310984,970.1883677634622,458.93299222814977,1572.289538919187,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,240,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,2017,250825_mACmChPOLR2A_ARMC5,712.8131174432203,2.2873761150354532,113.15684286637418,1.4114962657566206,0.0
56,E19,2735.1049678887066,266.8842615822439,999.7669617397113,479.0547940798626,1540.2805280528053,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,120,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,1818,250825_mACmChPOLR2A_ARMC5,742.3917114194694,2.38229211436538,115.62695653550821,1.4423079792302311,0.0
57,E20,2737.94975926167,269.669662119864,990.0506138820518,465.0700364549112,1553.3147286821707,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,60,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,1935,250825_mACmChPOLR2A_ARMC5,732.67536356181,2.351112915398469,118.4123570731283,1.477052519267726,0.0
58,E21,2447.3092324911086,263.9475849027904,965.406316640798,433.2627760627445,1598.5749253731344,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,30,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,1675,250825_mACmChPOLR2A_ARMC5,708.0310663205561,2.272030789239408,112.69027985605476,1.405676450267568,0.0
61,F04,1413.8004258968979,256.34754796350404,272.4250589862279,483.9003268187535,1602.8303979125897,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,1533,250825_mACmChPOLR2A_ARMC5,15.049808665986006,0.04829396658959784,105.09024291676837,1.3108750799953077,24.0
62,F05,1479.9935238483083,260.4489631422669,285.01566804827013,516.8103009417622,1485.582747603834,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,480,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,1565,250825_mACmChPOLR2A_ARMC5,27.64041772802824,0.0886965037168111,109.19165809553124,1.3620353285715041,8.0
63,F06,1442.6675099412855,248.19417212704116,281.95174386249437,483.62363869469493,1546.0770533446232,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,240,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,1181,250825_mACmChPOLR2A_ARMC5,24.57649354225248,0.07886454800594951,96.93686708030549,1.2091714688397026,4.0
64,F07,1272.2189701652885,235.08378153083203,283.75914248235915,490.8550947917352,1481.4400904295403,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,120,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,1327,250825_mACmChPOLR2A_ARMC5,26.383892162117263,0.08466438576462552,83.82647648409636,1.0456350277336832,2.0
