,EXPERIMENT,WELL,CELL,EU,DRUG,DRUG TIME HOURS,TIME_HOURS,TIME_IN_AUXIN_HRS,PRIMARY,SECONDARY,TotalNumberCells,IF_Intensity_BGS,IF_Intensity_FC
84,250128_ARMC5mAC_TotalPolII,G07,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,"EU 1 mM, 30 mins",10 µM 5PhIAA,8,8,8.0,Total Pol II F12,Goat anti-mouse Alexa647,2241,608.6143851688274,1.3542222462863087
85,250128_ARMC5mAC_TotalPolII,G08,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,"EU 1 mM, 30 mins",10 µM 5PhIAA,8,8,8.0,Total Pol II F12,Goat anti-mouse Alexa647,2561,556.253774796091,1.2377151358337357
86,250128_ARMC5mAC_TotalPolII,G09,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",10 µM 5PhIAA,8,8,8.0,Total Pol II F12,Goat anti-mouse Alexa647,4228,323.80579775402146,0.7204972893852015
87,250128_ARMC5mAC_TotalPolII,G10,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,"EU 1 mM, 30 mins",Vehicle,8,8,0.0,Total Pol II F12,Goat anti-mouse Alexa647,1877,449.36471219769624,0.9998772700473686
88,250128_ARMC5mAC_TotalPolII,G11,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,"EU 1 mM, 30 mins",Vehicle,8,8,0.0,Total Pol II F12,Goat anti-mouse Alexa647,2422,376.91735888516007,0.8386753334332919
89,250128_ARMC5mAC_TotalPolII,G12,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",Vehicle,8,8,0.0,Total Pol II F12,Goat anti-mouse Alexa647,4479,323.9154492927481,0.7207412740111021
90,250128_ARMC5mAC_TotalPolII,G13,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,"EU 1 mM, 30 mins",10 µM 5PhIAA,8,8,8.0,Total Pol II F12,Goat anti-mouse Alexa647,1944,564.7475878124134,1.256614640713676
91,250128_ARMC5mAC_TotalPolII,G14,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,"EU 1 mM, 30 mins",10 µM 5PhIAA,8,8,8.0,Total Pol II F12,Goat anti-mouse Alexa647,2378,540.710043062059,1.2031289219395416
92,250128_ARMC5mAC_TotalPolII,G15,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",10 µM 5PhIAA,8,8,8.0,Total Pol II F12,Goat anti-mouse Alexa647,3855,293.402448641976,0.6528470781307963
93,250128_ARMC5mAC_TotalPolII,G16,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,"EU 1 mM, 30 mins",Vehicle,8,8,0.0,Total Pol II F12,Goat anti-mouse Alexa647,2634,436.1805503038345,0.9705413132077104
94,250128_ARMC5mAC_TotalPolII,G17,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,"EU 1 mM, 30 mins",Vehicle,8,8,0.0,Total Pol II F12,Goat anti-mouse Alexa647,2669,363.7659537373514,0.8094122633266818
95,250128_ARMC5mAC_TotalPolII,G18,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",Vehicle,8,8,0.0,Total Pol II F12,Goat anti-mouse Alexa647,4285,304.12672027467806,0.6767095558738976
96,250128_ARMC5mAC_TotalPolII,G19,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,"EU 1 mM, 30 mins",10 µM 5PhIAA,8,8,8.0,Total Pol II F12,Goat anti-mouse Alexa647,1998,576.6362276601931,1.2830679434161467
97,250128_ARMC5mAC_TotalPolII,G20,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,"EU 1 mM, 30 mins",10 µM 5PhIAA,8,8,8.0,Total Pol II F12,Goat anti-mouse Alexa647,2083,502.4742819384852,1.1180508830711877
98,250128_ARMC5mAC_TotalPolII,G21,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",10 µM 5PhIAA,8,8,8.0,Total Pol II F12,Goat anti-mouse Alexa647,3296,302.06663284296985,0.6721256743599234
99,250128_ARMC5mAC_TotalPolII,G22,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",No addition,No addition,No addition,0.0,Total Pol II F12,Goat anti-mouse Alexa647,4345,297.3678485781161,0.661670452897815
100,250128_ARMC5mAC_TotalPolII,H03,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",No addition,No addition,No addition,0.0,Total Pol II F12,Goat anti-mouse Alexa647,3548,258.1835656246575,0.5744818668678756
101,250128_ARMC5mAC_TotalPolII,H04,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,"EU 1 mM, 30 mins",Vehicle,2,2,0.0,Total Pol II F12,Goat anti-mouse Alexa647,1540,396.31242174139413,0.8818311086303365
102,250128_ARMC5mAC_TotalPolII,H05,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,"EU 1 mM, 30 mins",Vehicle,2,2,0.0,Total Pol II F12,Goat anti-mouse Alexa647,2267,350.3311644622487,0.7795186378162268
103,250128_ARMC5mAC_TotalPolII,H06,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",Vehicle,2,2,0.0,Total Pol II F12,Goat anti-mouse Alexa647,4300,284.89752395331095,0.6339228487713722
104,250128_ARMC5mAC_TotalPolII,H07,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,"EU 1 mM, 30 mins",10 µM 5PhIAA,2,2,2.0,Total Pol II F12,Goat anti-mouse Alexa647,2111,416.53249665534895,0.9268226105358617
105,250128_ARMC5mAC_TotalPolII,H08,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,"EU 1 mM, 30 mins",10 µM 5PhIAA,2,2,2.0,Total Pol II F12,Goat anti-mouse Alexa647,1997,398.01213017032205,0.885613114154271
106,250128_ARMC5mAC_TotalPolII,H09,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",10 µM 5PhIAA,2,2,2.0,Total Pol II F12,Goat anti-mouse Alexa647,4354,271.5163725279667,0.6041485723449281
107,250128_ARMC5mAC_TotalPolII,H10,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,"EU 1 mM, 30 mins",Vehicle,2,2,0.0,Total Pol II F12,Goat anti-mouse Alexa647,1850,374.15896628226926,0.8325376595336023
108,250128_ARMC5mAC_TotalPolII,H11,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,"EU 1 mM, 30 mins",Vehicle,2,2,0.0,Total Pol II F12,Goat anti-mouse Alexa647,2069,354.1888863423269,0.7881024191353918
109,250128_ARMC5mAC_TotalPolII,H12,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",Vehicle,2,2,0.0,Total Pol II F12,Goat anti-mouse Alexa647,4726,272.8184184021118,0.6070457425916739
110,250128_ARMC5mAC_TotalPolII,H13,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,"EU 1 mM, 30 mins",10 µM 5PhIAA,2,2,2.0,Total Pol II F12,Goat anti-mouse Alexa647,2440,403.70711009205934,0.8982849613700268
111,250128_ARMC5mAC_TotalPolII,H14,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,"EU 1 mM, 30 mins",10 µM 5PhIAA,2,2,2.0,Total Pol II F12,Goat anti-mouse Alexa647,2552,415.1250313730717,0.9236908725379063
112,250128_ARMC5mAC_TotalPolII,H15,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",10 µM 5PhIAA,2,2,2.0,Total Pol II F12,Goat anti-mouse Alexa647,3852,288.3615126519454,0.6416305380256672
113,250128_ARMC5mAC_TotalPolII,H16,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,"EU 1 mM, 30 mins",Vehicle,2,2,0.0,Total Pol II F12,Goat anti-mouse Alexa647,1890,398.24055819773594,0.8861213872479368
114,250128_ARMC5mAC_TotalPolII,H17,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,"EU 1 mM, 30 mins",Vehicle,2,2,0.0,Total Pol II F12,Goat anti-mouse Alexa647,2103,358.9960636643393,0.7987988249876893
115,250128_ARMC5mAC_TotalPolII,H18,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",Vehicle,2,2,0.0,Total Pol II F12,Goat anti-mouse Alexa647,4046,289.7332965726872,0.6446828817556811
116,250128_ARMC5mAC_TotalPolII,H19,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,"EU 1 mM, 30 mins",10 µM 5PhIAA,2,2,2.0,Total Pol II F12,Goat anti-mouse Alexa647,1689,450.2491195298925,1.0018451566324131
117,250128_ARMC5mAC_TotalPolII,H20,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,"EU 1 mM, 30 mins",10 µM 5PhIAA,2,2,2.0,Total Pol II F12,Goat anti-mouse Alexa647,2001,456.8783091058815,1.0165957051199639
