,EXPERIMENT,WELL,CELL,DRUG,DRUG TIME HOURS,TIME_HOURS,TIME_IN_AUXIN_HRS,PRIMARY,SECONDARY,TotalNumberCells,IF_Intensity_BGS,IF_Intensity_FC
121,250210_ARMC5mAC_PhosphoPolII,I08,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,48.0,48.0,48.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2078,347.8569831260692,0.9511884245361495
122,250210_ARMC5mAC_PhosphoPolII,I09,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,48.0,48.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1694,340.1988903984305,0.9302479532795627
123,250210_ARMC5mAC_PhosphoPolII,I10,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,48.0,48.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1342,380.44081373272485,1.0402864274612913
124,250210_ARMC5mAC_PhosphoPolII,I11,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,48.0,48.0,48.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1871,358.6713189477352,0.9807594021263486
125,250210_ARMC5mAC_PhosphoPolII,I12,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,48.0,48.0,48.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1549,376.60768858285957,1.0298050387032314
136,250210_ARMC5mAC_PhosphoPolII,J03,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,24.0,24.0,24.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1734,415.54817040221866,1.1362848201915072
137,250210_ARMC5mAC_PhosphoPolII,J04,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,24.0,24.0,24.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1840,350.9765972148139,0.9597187716448013
138,250210_ARMC5mAC_PhosphoPolII,J05,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,24.0,24.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1873,318.7049186511661,0.8714743247050419
139,250210_ARMC5mAC_PhosphoPolII,J06,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,24.0,24.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1921,311.3829287846999,0.8514529011218059
140,250210_ARMC5mAC_PhosphoPolII,J07,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,24.0,24.0,24.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1934,337.579321348611,0.9230849412420599
