,WELL,Alexa647_Intensity,GFP_Intensity,DAPI_Intensity,NucleusArea,CELL,DRUG,DRUG TIME HOURS,PRIMARY,SECONDARY,TotalNumberCells,EXPERIMENT,GFP_Intensity_BGS,GFP_Intensity_FC,IF_Intensity_BGS,IF_Intensity_FC,TIME_HOURS,TIME_IN_AUXIN_HRS
120,I07,473.5314836377201,251.08407187265954,746.9601193966029,1586.8070883804396,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,48.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2229,250210_ARMC5mAC_PhosphoPolII,-13.660245978920159,-0.2681707022904303,355.19638041792734,0.9712574473982184,48.0,48.0
121,I08,466.192086345862,253.30223435245443,751.4593597441755,1483.4889316650626,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,48.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2078,250210_ARMC5mAC_PhosphoPolII,-11.44208349912526,-0.22462491322346775,347.8569831260692,0.9511884245361495,48.0,48.0
122,I09,458.53399361822323,285.7047173885481,732.4230794450905,1508.198347107438,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,48.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1694,250210_ARMC5mAC_PhosphoPolII,20.960399536968396,0.41148344420670246,340.1988903984305,0.9302479532795627,48.0,0.0
123,I10,498.7759169525176,321.0071966192385,818.0350740455103,1394.988822652757,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,48.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1342,250210_ARMC5mAC_PhosphoPolII,56.26287876765883,1.1045229884796788,380.44081373272485,1.0402864274612913,48.0,0.0
124,I11,477.00642216752794,254.98359198074021,742.4008412623192,1531.4195617316943,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,48.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1871,250210_ARMC5mAC_PhosphoPolII,-9.76072587083948,-0.19161739222607405,358.6713189477352,0.9807594021263486,48.0,48.0
125,I12,494.9427918026523,261.78982537790955,799.8233526354556,1439.8043899289864,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,48.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1549,250210_ARMC5mAC_PhosphoPolII,-2.9544924736701432,-0.058001028883269405,376.60768858285957,1.0298050387032314,48.0,48.0
136,J03,533.8832736220114,268.5012359427882,711.9630170787744,1600.6782006920416,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,24.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1734,250210_ARMC5mAC_PhosphoPolII,3.7569180912084903,0.07375382291956693,415.54817040221866,1.1362848201915072,24.0,24.0
137,J04,469.3117004346067,267.41476664312194,728.5755792475898,1426.7570652173913,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,24.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1840,250210_ARMC5mAC_PhosphoPolII,2.670448791542242,0.05242483400105833,350.9765972148139,0.9597187716448013,24.0,24.0
138,J05,437.04002187095887,311.2292730509628,704.8095405778865,1571.1110517885745,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,24.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1873,250210_ARMC5mAC_PhosphoPolII,46.48495519938308,0.9125679801809233,318.7049186511661,0.8714743247050419,24.0,0.0
139,J06,429.71803200449267,323.94537919059644,719.4920629902907,1406.0437272254035,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,24.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1921,250210_ARMC5mAC_PhosphoPolII,59.201061339016746,1.1622038300131663,311.3829287846999,0.8514529011218059,24.0,0.0
140,J07,455.9144245684038,250.8635700462666,685.3111795906857,1558.3071354705273,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,24.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1934,250210_ARMC5mAC_PhosphoPolII,-13.880747805313092,-0.27249947716984063,337.579321348611,0.9230849412420599,24.0,24.0
141,J08,473.3778867850584,255.69568091535106,752.62647958852,1363.8168822328114,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,24.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1469,250210_ARMC5mAC_PhosphoPolII,-9.048636936228633,-0.17763804002535105,355.04278356526567,0.9708374485038911,24.0,24.0
142,J09,462.7795726031749,247.71700192837855,735.8862028491016,1447.2641509433963,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,24.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1908,250210_ARMC5mAC_PhosphoPolII,-17.027315923201144,-0.33427123320416496,344.44446938338217,0.9418571656335847,24.0,0.0
143,J10,420.7817715127419,315.07595678604144,700.7634521840816,1442.875,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,24.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1944,250210_ARMC5mAC_PhosphoPolII,50.33163893446175,0.988084034600228,302.44666829294914,0.8270173774706608,24.0,0.0
144,J11,491.5597689478698,253.2107280074929,726.2053979741312,1479.004109589041,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,24.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1460,250210_ARMC5mAC_PhosphoPolII,-11.533589844086805,-0.2264213172435883,373.22466572807707,1.0205544203873582,24.0,24.0
145,J12,465.7276374416246,259.6876157561418,764.1592607254053,1422.1300309597523,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,24.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1615,250210_ARMC5mAC_PhosphoPolII,-5.056702095437913,-0.09927049295449597,347.39253422183185,0.9499184243839921,24.0,24.0
156,K03,503.9125017420773,265.63311999377925,713.3585965349621,1504.6542185338865,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,8.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1446,250210_ARMC5mAC_PhosphoPolII,0.8888021421995518,0.017448492145654193,385.57739852228457,1.0543320273212398,8.0,8.0
157,K04,474.65728031604436,266.09303883284616,755.9260449834726,1404.1619572708478,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,8.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1451,250210_ARMC5mAC_PhosphoPolII,1.3487209812664673,0.02647737480702805,356.3221770962516,0.9743358526646011,8.0,8.0
