,EXPERIMENT,WELL,CELL,EU,DRUG,DRUG TIME HOURS,TIME_HOURS,TIME_IN_AUXIN_HRS,PRIMARY,SECONDARY,TotalNumberCells,EU_Intensity_BGS,EU_Intensity_FC
104,250128_ARMC5mAC_TotalPolII,H07,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,"EU 1 mM, 30 mins",10 µM 5PhIAA,2,2,2.0,Total Pol II F12,Goat anti-mouse Alexa647,2111,33.64990091967394,0.9496859692991602
105,250128_ARMC5mAC_TotalPolII,H08,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,"EU 1 mM, 30 mins",10 µM 5PhIAA,2,2,2.0,Total Pol II F12,Goat anti-mouse Alexa647,1997,31.150451097230018,0.8791451248250995
106,250128_ARMC5mAC_TotalPolII,H09,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",10 µM 5PhIAA,2,2,2.0,Total Pol II F12,Goat anti-mouse Alexa647,4354,23.24856167782471,0.6561336654310187
107,250128_ARMC5mAC_TotalPolII,H10,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,"EU 1 mM, 30 mins",Vehicle,2,2,0.0,Total Pol II F12,Goat anti-mouse Alexa647,1850,34.30804634045671,0.9682605105249401
108,250128_ARMC5mAC_TotalPolII,H11,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,"EU 1 mM, 30 mins",Vehicle,2,2,0.0,Total Pol II F12,Goat anti-mouse Alexa647,2069,28.64636320250625,0.8084733821299928
109,250128_ARMC5mAC_TotalPolII,H12,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",Vehicle,2,2,0.0,Total Pol II F12,Goat anti-mouse Alexa647,4726,24.45285800398429,0.6901219772112651
110,250128_ARMC5mAC_TotalPolII,H13,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,"EU 1 mM, 30 mins",10 µM 5PhIAA,2,2,2.0,Total Pol II F12,Goat anti-mouse Alexa647,2440,32.01162880877499,0.903449754775711
111,250128_ARMC5mAC_TotalPolII,H14,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,"EU 1 mM, 30 mins",10 µM 5PhIAA,2,2,2.0,Total Pol II F12,Goat anti-mouse Alexa647,2552,23.718178069215185,0.6693874369330823
112,250128_ARMC5mAC_TotalPolII,H15,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",10 µM 5PhIAA,2,2,2.0,Total Pol II F12,Goat anti-mouse Alexa647,3852,21.21880891556168,0.5988488691378921
113,250128_ARMC5mAC_TotalPolII,H16,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,"EU 1 mM, 30 mins",Vehicle,2,2,0.0,Total Pol II F12,Goat anti-mouse Alexa647,1890,32.87859677986461,0.9279178006086244
114,250128_ARMC5mAC_TotalPolII,H17,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,"EU 1 mM, 30 mins",Vehicle,2,2,0.0,Total Pol II F12,Goat anti-mouse Alexa647,2103,28.85600896442955,0.814390119867107
115,250128_ARMC5mAC_TotalPolII,H18,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",Vehicle,2,2,0.0,Total Pol II F12,Goat anti-mouse Alexa647,4046,25.10336953768467,0.7084810706866737
116,250128_ARMC5mAC_TotalPolII,H19,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,"EU 1 mM, 30 mins",10 µM 5PhIAA,2,2,2.0,Total Pol II F12,Goat anti-mouse Alexa647,1689,33.84944610903986,0.9553176431348226
117,250128_ARMC5mAC_TotalPolII,H20,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,"EU 1 mM, 30 mins",10 µM 5PhIAA,2,2,2.0,Total Pol II F12,Goat anti-mouse Alexa647,2001,31.649376446784146,0.8932260698278888
118,250128_ARMC5mAC_TotalPolII,H21,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",10 µM 5PhIAA,2,2,2.0,Total Pol II F12,Goat anti-mouse Alexa647,3486,26.089960693430896,0.7363251876807606
119,250128_ARMC5mAC_TotalPolII,H22,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",No addition,No addition,No addition,0.0,Total Pol II F12,Goat anti-mouse Alexa647,4338,24.245493670902107,0.6842696272108499
120,250128_ARMC5mAC_TotalPolII,I03,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",No addition,No addition,No addition,0.0,Total Pol II F12,Goat anti-mouse Alexa647,4005,22.284073694219387,0.6289133562903139
121,250128_ARMC5mAC_TotalPolII,I04,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,"EU 1 mM, 30 mins",Vehicle,72,72,0.0,Total Pol II F12,Goat anti-mouse Alexa647,1735,33.407060332023434,0.9428323889745533
122,250128_ARMC5mAC_TotalPolII,I05,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,"EU 1 mM, 30 mins",Vehicle,72,72,0.0,Total Pol II F12,Goat anti-mouse Alexa647,1890,46.419100019010614,1.3100653134397378
123,250128_ARMC5mAC_TotalPolII,I06,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",Vehicle,72,72,0.0,Total Pol II F12,Goat anti-mouse Alexa647,4738,23.49978219397883,0.6632237486963805
130,250128_ARMC5mAC_TotalPolII,I13,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,"EU 1 mM, 30 mins",Vehicle,72,72,0.0,Total Pol II F12,Goat anti-mouse Alexa647,2368,26.112980115403786,0.7369748544396973
131,250128_ARMC5mAC_TotalPolII,I14,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,"EU 1 mM, 30 mins",Vehicle,72,72,0.0,Total Pol II F12,Goat anti-mouse Alexa647,2470,22.17388783711013,0.6258036305659601
132,250128_ARMC5mAC_TotalPolII,I15,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",Vehicle,72,72,0.0,Total Pol II F12,Goat anti-mouse Alexa647,4293,22.080048297002122,0.6231552395701354
136,250128_ARMC5mAC_TotalPolII,I19,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,"EU 1 mM, 30 mins",Vehicle,72,72,0.0,Total Pol II F12,Goat anti-mouse Alexa647,1791,27.962532702849586,0.789173942513424
137,250128_ARMC5mAC_TotalPolII,I20,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,"EU 1 mM, 30 mins",Vehicle,72,72,0.0,Total Pol II F12,Goat anti-mouse Alexa647,2109,24.466480130496137,0.6905064283408896
138,250128_ARMC5mAC_TotalPolII,I21,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",Vehicle,72,72,0.0,Total Pol II F12,Goat anti-mouse Alexa647,3263,20.847221642200765,0.5883617291988064
139,250128_ARMC5mAC_TotalPolII,I22,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",No addition,No addition,No addition,0.0,Total Pol II F12,Goat anti-mouse Alexa647,4377,21.486486143721777,0.606403402760186
140,250128_ARMC5mAC_TotalPolII,J03,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",No addition,No addition,No addition,0.0,Total Pol II F12,Goat anti-mouse Alexa647,3937,20.53005975603037,0.579410612403203
141,250128_ARMC5mAC_TotalPolII,J04,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,"EU 1 mM, 30 mins",10 µM 5PhIAA,48,48,48.0,Total Pol II F12,Goat anti-mouse Alexa647,2256,38.309909749937134,1.0812032957089888
142,250128_ARMC5mAC_TotalPolII,J05,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,"EU 1 mM, 30 mins",10 µM 5PhIAA,48,48,48.0,Total Pol II F12,Goat anti-mouse Alexa647,1962,27.97604984462319,0.7895554307061549
143,250128_ARMC5mAC_TotalPolII,J06,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",10 µM 5PhIAA,48,48,48.0,Total Pol II F12,Goat anti-mouse Alexa647,4534,25.83089179357185,0.7290136030236403
144,250128_ARMC5mAC_TotalPolII,J07,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,"EU 1 mM, 30 mins",Vehicle,48,48,0.0,Total Pol II F12,Goat anti-mouse Alexa647,1829,27.494133695124503,0.7759545286812103
145,250128_ARMC5mAC_TotalPolII,J08,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,"EU 1 mM, 30 mins",Vehicle,48,48,0.0,Total Pol II F12,Goat anti-mouse Alexa647,2675,25.443420896075395,0.7180781867279865
146,250128_ARMC5mAC_TotalPolII,J09,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",Vehicle,48,48,0.0,Total Pol II F12,Goat anti-mouse Alexa647,4705,21.33112243326994,0.6020186428672348
147,250128_ARMC5mAC_TotalPolII,J10,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,"EU 1 mM, 30 mins",10 µM 5PhIAA,48,48,48.0,Total Pol II F12,Goat anti-mouse Alexa647,2007,27.745603270944855,0.783051641045145
