WELL,CELL,DRUG_1,DRUG_TIME_MINUTES_1,DRUG_2,DRUG_TIME_MINUTES_2
L16,HCT116 mChPOLR2A Clone 2,Vehicle,60,Vehicle,60
L17,HCT116 mChPOLR2A Clone 2,Vehicle,60,Leptomycin 10 ng/mL,60
L18,HCT116 mChPOLR2A Clone 2,Vehicle,60,Cycloheximide 50 µg/mL,60
L19,HCT116 mChPOLR2A Clone 2,Vehicle,60,Vehicle,60
L20,HCT116 mChPOLR2A Clone 2,Vehicle,60,Leptomycin 10 ng/mL,60
L21,HCT116 mChPOLR2A Clone 2,Vehicle,60,Cycloheximide 50 µg/mL,60
L22,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition
M03,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition
M04,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,30,Vehicle,30
M05,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,30,Leptomycin 10 ng/mL,30
M06,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,30,Cycloheximide 50 µg/mL,30
M07,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,30,Vehicle,30
M08,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,30,Leptomycin 10 ng/mL,30
M09,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,30,Cycloheximide 50 µg/mL,30
M10,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,30,Exclude,30
M11,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,30,Exclude,30
M12,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,30,Exclude,30
M13,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,30,Exclude,30
M14,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,30,Exclude,30
M15,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,30,Exclude,30
M16,HCT116 mChPOLR2A Clone 2,Vehicle,30,Exclude,30
M17,HCT116 mChPOLR2A Clone 2,Vehicle,30,Exclude,30
M18,HCT116 mChPOLR2A Clone 2,Vehicle,30,Exclude,30
M19,HCT116 mChPOLR2A Clone 2,Vehicle,30,Exclude,30
