,WELL,IF_647_Intensity,RFP_561_Intensity,GFP_488_Intensity,DAPI_Intensity,NucleusArea,CELL,DRUG,DRUG TIME MINUTES,PRIMARY,SECONDARY,TotalNumberCells,EXPERIMENT
76,F19,337.4787332418076,158.09016675402052,366.634743376699,581.4700122846237,1746.1055555555556,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,10 µM 5PhIAA,240,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,720,241102_mACmChPOLR2A_TotalPolII
77,F20,561.9146199510105,212.3789868010902,263.5177849564656,532.660276493084,1741.8464646464647,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,240,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1485,241102_mACmChPOLR2A_TotalPolII
78,F21,584.9963335398174,232.87907322818597,236.96424257831342,505.4843703058442,1612.674361088211,HCT116 mChPOLR2A Clone 2,10 µM 5PhIAA,240,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,2426,241102_mACmChPOLR2A_TotalPolII
79,F22,643.6680525648927,155.51614098264125,240.688302769817,528.0373100759683,1507.5340626553952,HCT116 OsTIRF74G,Vehicle,1440,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,2011,241102_mACmChPOLR2A_TotalPolII
80,G03,589.3207437019533,154.29800311197766,242.88891075365427,504.4170905802499,1575.1656756756756,HCT116 OsTIRF74G,Vehicle,1440,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,3700,241102_mACmChPOLR2A_TotalPolII
81,G04,653.6232022614878,156.78210557661396,801.2972824918223,535.5794679112643,1728.6124469589815,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,Vehicle,120,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,707,241102_mACmChPOLR2A_TotalPolII
82,G05,626.2416490033604,202.81274435452602,472.15500907723117,519.6249419018511,1760.73100871731,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,120,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1606,241102_mACmChPOLR2A_TotalPolII
83,G06,566.6887863715897,236.56621394782442,238.3273724881595,510.0785477569449,1651.5926892950392,HCT116 mChPOLR2A Clone 2,Vehicle,120,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,2298,241102_mACmChPOLR2A_TotalPolII
84,G07,339.69714474105115,157.8555054347615,400.7879003631706,555.7879143421216,1753.6781193490053,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,10 µM 5PhIAA,120,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1106,241102_mACmChPOLR2A_TotalPolII
85,G08,501.21046351894796,206.61756183935682,270.1487032920085,534.2261364227944,1770.1962110960758,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,120,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1478,241102_mACmChPOLR2A_TotalPolII
