,WELL,IF_561_Intensity,GFP_488_Intensity,DAPI_Intensity,NucleusArea,CELL,DRUG,DRUG_CONCENTRATION,TIME_MINUTES,PRIMARY,SECONDARY,TotalNumberCells,EXPERIMENT,ROW,COLUMN
69,F12,1704.6550982793647,265.4299223289341,313.5659204962353,1642.474287585981,HCT116 OsTIRF74G,Vehicle,0,480,pSer2 Pol II (3E10),Goat anti-rat Alexa647,3053,250912_mACPOLR2A_Kinetic_pSer2,F,12
70,F13,1298.4640992814705,266.2794325352442,305.858774461182,1716.244460077383,HCT116 OsTIRF74G,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa647,2843,250912_mACPOLR2A_Kinetic_pSer2,F,13
71,F14,834.1176976754532,523.7310942058778,313.6802073003968,2126.7021803766106,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,480,Total Pol II (F12),Goat anti-mouse Alexa647,2018,250912_mACPOLR2A_Kinetic_pSer2,F,14
72,F15,718.6038311032949,482.5289237217595,322.29717869334416,2027.7900302114804,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,240,Total Pol II (F12),Goat anti-mouse Alexa647,1986,250912_mACPOLR2A_Kinetic_pSer2,F,15
73,F16,735.5117021913991,525.610383670852,316.2804676920983,1939.0962962962963,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,120,Total Pol II (F12),Goat anti-mouse Alexa647,1755,250912_mACPOLR2A_Kinetic_pSer2,F,16
74,F17,881.5643251594756,654.0069560717933,323.72624697246937,2030.5513368983957,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,60,Total Pol II (F12),Goat anti-mouse Alexa647,1870,250912_mACPOLR2A_Kinetic_pSer2,F,17
75,F18,853.2958429973495,520.0390625768873,317.29272087790247,1990.0041536863966,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,480,Total Pol II (F12),Goat anti-mouse Alexa647,1926,250912_mACPOLR2A_Kinetic_pSer2,F,18
76,F19,704.7124003451361,481.52108580274586,314.1363908610441,1961.348823866896,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,240,Total Pol II (F12),Goat anti-mouse Alexa647,1743,250912_mACPOLR2A_Kinetic_pSer2,F,19
77,F20,794.3996108344876,553.0720972580306,312.70284850756263,1901.2999361837906,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,120,Total Pol II (F12),Goat anti-mouse Alexa647,1567,250912_mACPOLR2A_Kinetic_pSer2,F,20
78,F21,931.6207418235826,659.4310870175474,317.90325931766534,2097.386098130841,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,60,Total Pol II (F12),Goat anti-mouse Alexa647,1712,250912_mACPOLR2A_Kinetic_pSer2,F,21
79,F22,1391.3148513228723,272.01805126919766,316.9158763898651,1721.610510805501,HCT116 OsTIRF74G,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa647,2036,250912_mACPOLR2A_Kinetic_pSer2,F,22
80,G03,1692.1114765007665,268.8720033818839,305.7040451650413,1686.1070780399275,HCT116 OsTIRF74G,Vehicle,0,480,pSer2 Pol II (3E10),Goat anti-rat Alexa647,2755,250912_mACPOLR2A_Kinetic_pSer2,G,03
81,G04,1538.2908743966532,685.8582109942829,307.4052288920626,2197.3708044752266,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,480,pSer2 Pol II (3E10),Goat anti-rat Alexa647,1877,250912_mACPOLR2A_Kinetic_pSer2,G,04
82,G05,1707.8828733600833,710.4582912565446,315.3017590881554,1994.4538510502864,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,240,pSer2 Pol II (3E10),Goat anti-rat Alexa647,1571,250912_mACPOLR2A_Kinetic_pSer2,G,05
83,G06,1540.790120579205,690.6072040657724,305.786688091808,2036.8628064684403,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,120,pSer2 Pol II (3E10),Goat anti-rat Alexa647,1917,250912_mACPOLR2A_Kinetic_pSer2,G,06
84,G07,1712.0397728785051,758.6039196678337,318.196146515247,2044.1134644478063,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,60,pSer2 Pol II (3E10),Goat anti-rat Alexa647,1983,250912_mACPOLR2A_Kinetic_pSer2,G,07
85,G08,1492.112199550738,693.2596399859922,313.2501254769827,2065.266911165444,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,480,pSer2 Pol II (3E10),Goat anti-rat Alexa647,2454,250912_mACPOLR2A_Kinetic_pSer2,G,08
86,G09,1614.6269384310456,684.2967658558046,318.925187933495,2017.6912611198325,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,240,pSer2 Pol II (3E10),Goat anti-rat Alexa647,1911,250912_mACPOLR2A_Kinetic_pSer2,G,09
87,G10,1565.6306018538999,723.8090905285009,319.38436505058945,2107.4690618762475,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,120,pSer2 Pol II (3E10),Goat anti-rat Alexa647,2004,250912_mACPOLR2A_Kinetic_pSer2,G,10
88,G11,1704.4109854954597,761.842024345381,325.20086018559476,2033.5853658536585,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,60,pSer2 Pol II (3E10),Goat anti-rat Alexa647,2501,250912_mACPOLR2A_Kinetic_pSer2,G,11
89,G12,1644.8174891681601,264.35655525205567,319.40923401352615,1649.7371937639198,HCT116 OsTIRF74G,Vehicle,0,480,pSer2 Pol II (3E10),Goat anti-rat Alexa647,3143,250912_mACPOLR2A_Kinetic_pSer2,G,12
90,G13,1257.3985857380685,265.6865104399951,304.62786199644864,1693.1012701682114,HCT116 OsTIRF74G,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa647,2913,250912_mACPOLR2A_Kinetic_pSer2,G,13
91,G14,1001.3269384102766,723.0987486726267,303.4771306530002,2023.513153153153,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,480,Total Pol II (F12),Goat anti-mouse Alexa647,2775,250912_mACPOLR2A_Kinetic_pSer2,G,14
92,G15,1006.2296711551184,703.9435418464293,314.22674964707744,2075.085429314831,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,240,Total Pol II (F12),Goat anti-mouse Alexa647,2306,250912_mACPOLR2A_Kinetic_pSer2,G,15
93,G16,1030.914932381597,751.3239515891105,308.67587110002626,2039.6145884672253,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,120,Total Pol II (F12),Goat anti-mouse Alexa647,2029,250912_mACPOLR2A_Kinetic_pSer2,G,16
94,G17,1030.964118177712,796.2555328381334,310.6731203621794,2062.0234070221068,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,60,Total Pol II (F12),Goat anti-mouse Alexa647,2307,250912_mACPOLR2A_Kinetic_pSer2,G,17
95,G18,1046.4616500817465,737.7290737430573,307.92186597442384,1990.1868409953606,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,480,Total Pol II (F12),Goat anti-mouse Alexa647,2371,250912_mACPOLR2A_Kinetic_pSer2,G,18
96,G19,962.4295480346515,721.6233109267346,310.59400568421154,2045.4188235294118,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,240,Total Pol II (F12),Goat anti-mouse Alexa647,2125,250912_mACPOLR2A_Kinetic_pSer2,G,19
97,G20,1063.5948646222475,767.5052784823032,310.2554488536404,2117.0065645514223,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,120,Total Pol II (F12),Goat anti-mouse Alexa647,1828,250912_mACPOLR2A_Kinetic_pSer2,G,20
98,G21,1143.7803931900055,839.3268873319845,312.8693478772804,2009.9793932455639,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,60,Total Pol II (F12),Goat anti-mouse Alexa647,1747,250912_mACPOLR2A_Kinetic_pSer2,G,21
