WELL,CELL,DRUG,PRIMARY,SECONDARY,SEEDING_DENSITY
H14,HCT116 mCherryPOLR2A Clone 2,No treatment,pSer2 Pol II (3E10),Goat anti-rat Alexa488+,750
H15,HCT116 mCherryPOLR2A Clone 2,Roscovitine 10 µM,pSer2 Pol II (3E10),Goat anti-rat Alexa488+,750
H16,HCT116 mCherryPOLR2A Clone 2,Vehicle,pSer2 Pol II (3E10),Goat anti-rat Alexa488+,750
H17,HCT116 mCherryPOLR2A Clone 2,Palbociclib 1 µM,pSer2 Pol II (3E10),Goat anti-rat Alexa488+,750
H18,HCT116 mCherryPOLR2A Clone 2,Roscovitine 10 µM,Total Pol II (F12),Goat anti-mouse Alexa488+,750
H19,HCT116 mCherryPOLR2A Clone 2,Vehicle,Total Pol II (F12),Goat anti-mouse Alexa488+,750
H20,HCT116 mCherryPOLR2A Clone 2,Palbociclib 1 µM,Total Pol II (F12),Goat anti-mouse Alexa488+,750
H21,HCT116 mCherryPOLR2A Clone 2,No treatment,Total Pol II (F12),Goat anti-mouse Alexa488+,750
H22,HCT116,No treatment,No primary,No primary,750
I03,HCT116,No treatment,No primary,No primary,500
I04,HCT116 mCherryPOLR2A Clone 2,No treatment,pSer2 Pol II (3E10),Goat anti-rat Alexa488+,500
I05,HCT116 mCherryPOLR2A Clone 2,Palbociclib 1 µM,pSer2 Pol II (3E10),Goat anti-rat Alexa488+,500
I06,HCT116 mCherryPOLR2A Clone 2,Roscovitine 10 µM,pSer2 Pol II (3E10),Goat anti-rat Alexa488+,500
I07,HCT116 mCherryPOLR2A Clone 2,Vehicle,pSer2 Pol II (3E10),Goat anti-rat Alexa488+,500
I08,HCT116 mCherryPOLR2A Clone 2,Palbociclib 1 µM,pSer2 Pol II (3E10),Goat anti-rat Alexa488+,500
I09,HCT116 mCherryPOLR2A Clone 2,Roscovitine 10 µM,Total Pol II (F12),Goat anti-mouse Alexa488+,500
I10,HCT116 mCherryPOLR2A Clone 2,Vehicle,Total Pol II (F12),Goat anti-mouse Alexa488+,500
I11,HCT116 mCherryPOLR2A Clone 2,No treatment,Total Pol II (F12),Goat anti-mouse Alexa488+,500
I12,HCT116,No treatment,Total Pol II (F12),Goat anti-mouse Alexa488+,500
I13,HCT116,No treatment,No primary,Goat anti-mouse Alexa488+,750
I14,HCT116 mCherryPOLR2A Clone 2,No treatment,pSer2 Pol II (3E10),Goat anti-rat Alexa488+,750
I15,HCT116 mCherryPOLR2A Clone 2,Palbociclib 1 µM,pSer2 Pol II (3E10),Goat anti-rat Alexa488+,750
