,WELL,IF_647_Intensity,GFP_488_Intensity,DAPI_Intensity,NucleusArea,CELL,DRUG,DRUG TIME MINUTES,PRIMARY,SECONDARY,TotalNumberCells,EXPERIMENT,RFP_561_Intensity,GFP_Intensity_BGS,GFP_Intensity_FC,RFP_Intensity_BGS,RFP_Intensity_FC,IF_647_Intensity_BGS,IF_647_Intensity_FC,TIME_HOURS,TIME_IN_AUXIN
209,M12,261.8965554338493,205.43881497066684,886.2700507262998,1715.200985221675,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1015,241021_mACmChPOLR2A_TotalPolII,142.74380690442845,11.305795195489452,0.06196585022499802,19.600232876761382,0.9050746561272777,127.64709997110256,0.8614479516800121,24.0,24.0
212,M15,273.0345613016293,272.65536930210396,911.0685746740237,1787.336173508908,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1291,241021_mACmChPOLR2A_TotalPolII,136.54558348784073,78.52234952692658,0.4303725714084838,13.402009460173659,0.6188609686348508,138.78510583888257,0.936614660071908,24.0,0.0
21,D04,650.4756754310346,502.65194248954657,555.0720219504631,1733.280545359203,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,30,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1907,241026_mACmChPOLR2A_TotalPolII,206.06109898827404,261.0232334153011,0.40059574268229636,50.98071557495226,0.5688357239614386,511.285456477552,0.969312525977437,0.5,0.0
24,D07,541.387582390381,356.94618636008505,574.7214287047406,1699.3422459893047,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,30,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,374,241026_mACmChPOLR2A_TotalPolII,207.45656752856198,115.31747728583957,0.17697922845078728,52.37618411524019,0.5844061675777714,402.1973634368984,0.7624995730963098,0.5,0.5
27,D10,708.4795972971665,516.6014322307352,581.0687878259691,1672.0529164161155,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,30,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1663,241026_mACmChPOLR2A_TotalPolII,207.85729231129812,274.97272315648974,0.42200420556046314,52.77690889797634,0.5888773988919314,569.2893783436839,1.079278352911,0.5,0.0
30,D13,583.205938357952,359.77913087809463,610.5720185399013,1786.7945278969958,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,30,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1864,241026_mACmChPOLR2A_TotalPolII,209.14274135463447,118.15042180384916,0.18132698515551005,54.06235794131268,0.6032202602844267,444.01571940446945,0.8417802483856325,0.5,0.5
33,D16,678.5979354656346,502.66113707718034,567.2248378544666,1683.5993836671803,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,30,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1947,241026_mACmChPOLR2A_TotalPolII,203.62543510153043,261.03242800293486,0.400609853735223,48.545051688208645,0.5416589255442886,539.407716512152,1.022627672271901,0.5,0.0
36,D19,573.6626207432618,358.16523651133923,585.8570563105677,1737.766174801362,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,30,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1762,241026_mACmChPOLR2A_TotalPolII,204.7206242497174,116.53652743709375,0.17885012053314706,49.640240836395606,0.5538788935254702,434.47240178977916,0.8236876991333411,0.5,0.5
41,E04,684.0610913203645,511.6250026561731,578.2275120179985,1787.614345114345,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,60,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1924,241026_mACmChPOLR2A_TotalPolII,208.70774023944946,269.9962935819276,0.4143668145311518,53.62735682612768,0.5983665784266956,544.8708723668819,1.0329849107465479,1.0,0.0
44,E07,551.2748874668096,307.31506556661,560.4669494424346,1743.1814615007356,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,60,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,2039,241026_mACmChPOLR2A_TotalPolII,208.1105017016731,65.6863564923645,0.10080970348446514,53.030118288351304,0.5917026740035766,412.08466851332696,0.7812442655911241,1.0,1.0
