,EXPERIMENT,WELL,CELL,DRUG,DRUG_CONCENTRATION,DRUG_CONCENTRATION_LOG,TIME_MINUTES,EU,PRIMARY,SECONDARY,CLICK,TotalNumberCells,GFP_Intensity,GFP_Intensity_BGS,GFP_Intensity_FC
81,260508_mACPOLR2A_CRC_EU,G04,HCT116 OsTIRF74G,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,4268,132.33644355872482,-0.709914567175332,-0.006634844723123066
82,260508_mACPOLR2A_CRC_EU,G05,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,30,-7.5,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3375,184.68731547788266,51.64095735198251,0.48263516375936405
83,260508_mACPOLR2A_CRC_EU,G06,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,-7.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3597,171.466691776208,38.42033365030784,0.35907552791125513
84,260508_mACPOLR2A_CRC_EU,G07,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,300,-6.5,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3870,159.6861883576718,26.63983023177164,0.24897522210515657
85,260508_mACPOLR2A_CRC_EU,G08,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,-6.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3767,157.0215630611166,23.975204935216453,0.22407169722286885
86,260508_mACPOLR2A_CRC_EU,G09,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,4101,239.67977645177203,106.63341832587187,0.9965934009539076
87,260508_mACPOLR2A_CRC_EU,G10,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,30,-7.5,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3723,179.92354042172983,46.87718229582967,0.43811303496403425
88,260508_mACPOLR2A_CRC_EU,G11,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,-7.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,4001,164.84445281151537,31.79809468561521,0.2971842394637266
89,260508_mACPOLR2A_CRC_EU,G12,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,300,-6.5,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3906,159.0492036990614,26.00284557316124,0.24302197857937924
90,260508_mACPOLR2A_CRC_EU,G13,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,-6.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3877,156.61569091089984,23.569332784999688,0.220278425724239
91,260508_mACPOLR2A_CRC_EU,G14,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3619,237.32372581335693,104.27736768745677,0.9745738075148024
92,260508_mACPOLR2A_CRC_EU,G15,HCT116 OsTIRF74G,5PhIAA,1000,-6.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,4138,132.63154083534363,-0.4148172905565275,-0.0038768725682867193
93,260508_mACPOLR2A_CRC_EU,G16,HCT116 OsTIRF74G,No addition,0,-12.0,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,4503,132.1356607908935,-0.9106973350066596,-0.008511355713650064
94,260508_mACPOLR2A_CRC_EU,G17,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,30,-7.5,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,3682,185.13855070928275,52.0921925833826,0.48685239753983767
95,260508_mACPOLR2A_CRC_EU,G18,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,-7.0,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,3815,165.29452307145073,32.24816494555057,0.3013905854484953
96,260508_mACPOLR2A_CRC_EU,G19,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,300,-6.5,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,4088,159.09999753547825,26.053639409578096,0.24349669657095177
