,EXPERIMENT,WELL,CELL,DRUG,DRUG_CONCENTRATION,DRUG_CONCENTRATION_LOG,TIME_MINUTES,EU,PRIMARY,SECONDARY,CLICK,TotalNumberCells,EU_647_Intensity,EU_647_Intensity_BGS,EU_647_Intensity_FC
89,260508_mACPOLR2A_CRC_EU,G12,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,300,-6.5,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3906,355.80149003573484,173.53155641595757,0.7540893837711188
90,260508_mACPOLR2A_CRC_EU,G13,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,-6.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3877,355.38548581955854,173.11555219978126,0.7522816182585994
91,260508_mACPOLR2A_CRC_EU,G14,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3619,411.4160562869571,229.1461226671798,0.9957650470294798
92,260508_mACPOLR2A_CRC_EU,G15,HCT116 OsTIRF74G,5PhIAA,1000,-6.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,4138,581.3241246288256,399.0541910090484,1.7341083962157298
100,260508_mACPOLR2A_CRC_EU,H03,HCT116 OsTIRF74G,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3180,619.0976669219092,436.82773330213195,1.8982550668210785
101,260508_mACPOLR2A_CRC_EU,H04,HCT116 OsTIRF74G,5PhIAA,1000,-6.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3547,577.9650213238688,395.6950877040915,1.7195112578417349
102,260508_mACPOLR2A_CRC_EU,H05,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,-8.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3660,423.07781315570253,240.80787953592525,1.046441749483306
103,260508_mACPOLR2A_CRC_EU,H06,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,30,-7.5,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3951,414.0496265513253,231.779692931548,1.0072093481052737
104,260508_mACPOLR2A_CRC_EU,H07,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,-7.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,4036,374.66415605714616,192.39422243736888,0.8360579691405199
105,260508_mACPOLR2A_CRC_EU,H08,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,300,-6.5,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3621,371.9430004524939,189.67306683271661,0.8242330619280306
