,WELL,RFP_Intensity,GFP_Intensity,DAPI_Intensity,NucleusArea,CELL,DRUG_1,DRUG_TIME_MINUTES_1,DRUG_2,DRUG_TIME_MINUTES_2,EXPERIMENT
52,E15,171.87346003462613,179.52104207206062,272.39556412498735,1518.2117834394905,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Cycloheximide 50 µg/mL,60,250512_mACmChPOLR2A_Inhibitors_Chase
53,E16,165.91881177187898,235.03021414715494,289.41604725263187,1391.7282608695652,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Vehicle,60,250512_mACmChPOLR2A_Inhibitors_Chase
54,E17,160.0683523413975,222.50059689703826,267.731158277756,1730.007402422611,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Leptomycin 10 ng/mL,60,250512_mACmChPOLR2A_Inhibitors_Chase
55,E18,163.9211096848248,229.62967852859904,276.2180818776707,1411.64010989011,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Cycloheximide 50 µg/mL,60,250512_mACmChPOLR2A_Inhibitors_Chase
56,E19,181.69623687335474,180.2759282512385,304.78684851057,1296.598275862069,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Vehicle,60,250512_mACmChPOLR2A_Inhibitors_Chase
57,E20,168.5229808352156,179.06212732853618,260.132160063929,1751.3562119895744,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Leptomycin 10 ng/mL,60,250512_mACmChPOLR2A_Inhibitors_Chase
58,E21,179.06248973133106,179.63648938117328,297.7060728086034,1425.4979702300407,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Cycloheximide 50 µg/mL,60,250512_mACmChPOLR2A_Inhibitors_Chase
59,E22,134.62400632328306,175.51737522492854,234.45478058842596,1665.90625,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition,250512_mACmChPOLR2A_Inhibitors_Chase
60,F03,133.52886352781326,175.58290978343683,213.5800337337895,1632.1311531841652,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition,250512_mACmChPOLR2A_Inhibitors_Chase
61,F04,175.62346641148721,175.27495318481988,210.45310311269313,1600.4563359345968,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Vehicle,120,250512_mACmChPOLR2A_Inhibitors_Chase
62,F05,170.7585619665995,175.00742862009233,204.96034124121246,1668.0477679840774,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Leptomycin 10 ng/mL,120,250512_mACmChPOLR2A_Inhibitors_Chase
63,F06,170.73268266194037,175.55372715933444,209.00043438813364,1689.3917825946296,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Cycloheximide 50 µg/mL,120,250512_mACmChPOLR2A_Inhibitors_Chase
64,F07,176.58151354685253,175.45395646122785,213.5677942715202,1686.5306641245631,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Vehicle,120,250512_mACmChPOLR2A_Inhibitors_Chase
65,F08,171.683817807781,175.81164994191838,214.14167802311502,1686.0127983396749,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Leptomycin 10 ng/mL,120,250512_mACmChPOLR2A_Inhibitors_Chase
66,F09,173.12207573881048,175.44428325733682,218.65791320462756,1696.3760092272203,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Cycloheximide 50 µg/mL,120,250512_mACmChPOLR2A_Inhibitors_Chase
67,F10,163.8466043298668,229.5403392377894,255.6278338866264,1448.8148148148148,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Vehicle,120,250512_mACmChPOLR2A_Inhibitors_Chase
68,F11,156.68673077401624,217.58617004900753,248.71418032727374,1655.9081481481483,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Leptomycin 10 ng/mL,120,250512_mACmChPOLR2A_Inhibitors_Chase
69,F12,161.07135643573062,228.1062599742275,275.6381736763426,1508.8067226890757,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Cycloheximide 50 µg/mL,120,250512_mACmChPOLR2A_Inhibitors_Chase
70,F13,178.15817124108054,181.35898423321947,280.174519959245,1422.0442043222004,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Vehicle,120,250512_mACmChPOLR2A_Inhibitors_Chase
71,F14,166.16591235077428,178.94880423162633,261.08457802454785,1727.3151298119965,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Leptomycin 10 ng/mL,120,250512_mACmChPOLR2A_Inhibitors_Chase
72,F15,168.86233596132007,178.172322556375,265.50067841542705,1547.9168110918545,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Cycloheximide 50 µg/mL,120,250512_mACmChPOLR2A_Inhibitors_Chase
73,F16,166.16626379308522,232.245951647446,282.97539015664614,1407.8018120045301,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Vehicle,120,250512_mACmChPOLR2A_Inhibitors_Chase
74,F17,158.0888403656602,220.52434732734827,261.40766578230443,1781.593220338983,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Leptomycin 10 ng/mL,120,250512_mACmChPOLR2A_Inhibitors_Chase
75,F18,163.85839278624175,233.57084940147388,291.93730357861955,1439.0854037267081,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Cycloheximide 50 µg/mL,120,250512_mACmChPOLR2A_Inhibitors_Chase
76,F19,177.96191056235241,180.20164648746731,289.2361547245922,1377.4705882352941,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Vehicle,120,250512_mACmChPOLR2A_Inhibitors_Chase
77,F20,166.63299518549536,179.39351936429327,263.1702371619793,1815.6416097190586,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Leptomycin 10 ng/mL,120,250512_mACmChPOLR2A_Inhibitors_Chase
78,F21,174.78520786671066,177.93683736691938,291.02937899904015,1459.9374233128835,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Cycloheximide 50 µg/mL,120,250512_mACmChPOLR2A_Inhibitors_Chase
79,F22,134.3777895173592,175.98657134004867,231.83137217276317,1657.7146581691773,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition,250512_mACmChPOLR2A_Inhibitors_Chase
80,G03,133.86243611908662,175.87451046730735,211.89043833846327,1662.9940513462743,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition,250512_mACmChPOLR2A_Inhibitors_Chase
81,G04,179.9319423689679,176.48475025315346,211.55218641008372,1650.9850318471338,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Vehicle,240,250512_mACmChPOLR2A_Inhibitors_Chase
82,G05,165.27497923541605,175.37463582689392,211.63305096808696,1752.759292674125,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Leptomycin 10 ng/mL,240,250512_mACmChPOLR2A_Inhibitors_Chase
