,WELL,RFP_Intensity,GFP_Intensity,DAPI_Intensity,NucleusArea,CELL,EU,DRUG,DRUG TIME MINUTES,PRIMARY,SECONDARY,TotalNumberCells,Alexa647_Intensity,NucleusArea2,EXPERIMENT,GFP_Intensity_BGS,GFP_Intensity_FC,RFP_Intensity_BGS,RFP_Intensity_FC,TIME_IN_AUXIN,TIME_IN_AUXIN_HRS
107,H10,218.54908916718577,262.89783260275107,506.32368694387185,1774.3653350515465,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,90,pSer2 3E10,Goat anti-rat Alexa647,1552,528.2456530106211,1747.6962259171285,241026_mACmChPOLR2A_ActivePolII,75.82538238248301,0.39111059700107387,41.32863540653486,0.5689025146931748,0,0.0
108,H11,223.31259880849063,200.8992421894872,528.3883001948368,1824.2557122022363,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,90,pSer2 3E10,Goat anti-rat Alexa647,2057,487.68124493932777,1747.5344452501813,241026_mACmChPOLR2A_ActivePolII,13.826791969219158,0.07131919011515933,46.09214504783972,0.63447382105368,90,1.5
111,H14,222.8022975919149,265.4186611331528,547.5853666854704,1844.6752387950037,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,90,No primary,No secondary,1361,208.2147238250397,1743.7253948967193,241026_mACmChPOLR2A_ActivePolII,78.34621091288474,0.4041131394279555,45.581843831263996,0.6274493538167333,0,0.0
112,H15,228.7193706680584,200.49661470398192,573.9941270378611,1821.8150728309056,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,90,No primary,No secondary,1579,227.4621163100019,1727.4120357040024,241026_mACmChPOLR2A_ActivePolII,13.424164483713867,0.06924242015664218,51.49891690740748,0.7088998473916805,90,1.5
113,H16,221.77019043758358,261.5650473043042,548.1330143630864,1804.0552325581396,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,90,No primary,No secondary,1376,224.0611583020114,1705.299264963248,241026_mACmChPOLR2A_ActivePolII,74.49259708403613,0.38423603287266095,44.54973667693267,0.6132420530008185,0,0.0
114,H17,231.7167238721605,201.03442006829974,609.7471036214095,1816.1377331420374,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,90,No primary,No secondary,1394,233.66376584628446,1737.5337670384138,241026_mACmChPOLR2A_ActivePolII,13.961969848031686,0.07201644345200396,54.496270111509574,0.7501594185936783,90,1.5
115,H18,227.00846382568528,263.72961603800144,584.472287425619,1772.8486590038315,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,90,No primary,No secondary,1044,230.55534381179734,1678.2153846153847,241026_mACmChPOLR2A_ActivePolII,76.65716581773339,0.3954009718823423,49.78801006503437,0.6853486414189347,0,0.0
116,H19,230.04119018490738,196.50484565715644,604.3194186676094,1715.2929553264605,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,90,No primary,No secondary,1164,232.91543701669417,1671.8623583718002,241026_mACmChPOLR2A_ActivePolII,9.432395436888385,0.04865270302051085,52.82073642425647,0.7270951359539302,90,1.5
117,H20,231.49276947068867,271.0015091440046,609.3383637682191,1673.2289281997919,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,90,No primary,No secondary,961,236.6796465386667,1673.1193029490616,241026_mACmChPOLR2A_ActivePolII,83.92905892373656,0.4329097105744921,54.27231571003776,0.7470766112151948,0,0.0
118,H21,221.75330122281576,193.78308126618302,560.1241015010842,1847.2478632478633,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,90,No primary,No secondary,819,248.6432887261254,1741.269826372595,241026_mACmChPOLR2A_ActivePolII,6.710631045914965,0.034613724746979595,44.53284746216485,0.6130095673003328,90,1.5
