,WELL,RFP_Intensity,GFP_Intensity,DAPI_Intensity,NucleusArea,CELL,EU,DRUG,DRUG TIME MINUTES,PRIMARY,SECONDARY,TotalNumberCells,Alexa647_Intensity,NucleusArea2,EXPERIMENT,GFP_Intensity_BGS,GFP_Intensity_FC,RFP_Intensity_BGS,RFP_Intensity_FC,Alexa647_Intensity_BGS,Alexa647_Intensity_FC,TIME_IN_AUXIN,TIME_IN_AUXIN_HRS
192,L15,228.54992406860424,198.94993511151674,601.2569284760189,1768.168284789644,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,90,No primary,No secondary,1236,240.57489440914983,1682.04298915227,241026_mACmChPOLR2A_ActivePolII,11.877484891248685,0.061264580022225894,51.32947030795333,0.7065673581723432,107.04200643209708,1.1118756371601195,90,1.5
193,L16,212.45819951791546,247.58272290650123,500.3939002358608,1795.099520383693,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,90,No primary,No secondary,834,229.38478720591135,1626.3058707449434,241026_mACmChPOLR2A_ActivePolII,60.51027268623318,0.31211459977388445,35.23774575726455,0.4850593777470029,95.8518992288586,0.9956408243870284,0,0.0
194,L17,230.45768647194964,197.6527652559769,608.3906147627586,1731.4424242424243,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,90,No primary,No secondary,825,256.12309416089477,1661.3160482789451,241026_mACmChPOLR2A_ActivePolII,10.58031503570885,0.054573721886452285,53.23723271129873,0.7328283469038676,122.59020618384201,1.2733791915299713,90,1.5
195,L18,216.23870348273707,219.6695012558431,521.7023036837128,1832.1684397163122,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,90,No primary,No secondary,1128,217.89702986988456,1661.9798142914817,241026_mACmChPOLR2A_ActivePolII,32.59705103557505,0.16813699701095716,39.01824972208615,0.5370992815870038,84.36414189283181,0.8763142353844366,0,0.0
196,L19,226.31675604575065,196.01426927196735,610.6375051368492,1833.5148430873621,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,90,No primary,No secondary,1179,220.72546300715288,1738.0850877192981,241026_mACmChPOLR2A_ActivePolII,8.941819051699298,0.04612228883917389,49.09630228509974,0.6758270520519792,87.19257503010013,0.9056939714477734,90,1.5
197,L20,219.47771211123435,258.6323820410737,562.795012208262,1744.3355091383812,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,90,No primary,No secondary,766,224.63674510502224,1642.6947608200455,241026_mACmChPOLR2A_ActivePolII,71.55993182080564,0.3691092187918477,42.25725835058344,0.581685320679251,91.10385712796949,0.9463215663484744,0,0.0
198,L21,224.21562972771224,194.695747433576,582.4367366773828,1693.7753357753359,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,90,No primary,No secondary,819,227.8650274528874,1597.5064034151546,241026_mACmChPOLR2A_ActivePolII,7.62329721330795,0.03932129625372369,46.99517596706133,0.646904344242685,94.33213947583465,0.9798546494072484,90,1.5
211,M14,223.2460839683332,264.8711828570425,578.0746763605332,1715.8563829787233,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,120,No primary,No secondary,752,190.79708632944366,1656.0045731707316,241026_mACmChPOLR2A_ActivePolII,77.79873263677447,0.4012892228358241,46.0256302076823,0.6335582219912442,57.264198352390906,0.5948194466059274,0,0.0
212,M15,230.24863280511403,195.3175867382851,617.2213338054058,1826.7733990147783,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,120,No primary,No secondary,1218,228.84461864421894,1704.25786163522,241026_mACmChPOLR2A_ActivePolII,8.245136518017034,0.04252877024279898,53.028179044463116,0.7299506531305617,95.31173066716619,0.990029940550629,120,2.0
213,M16,226.1358499588087,267.9327707240597,604.7929801928511,1738.8638211382113,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,120,No primary,No secondary,984,223.0510034808541,1665.7345617529882,241026_mACmChPOLR2A_ActivePolII,80.86032050379166,0.41708102527475194,48.915396198157794,0.6733368191475485,89.51811550380134,0.9298500189857878,0,0.0
214,M17,227.79727612370914,191.8761555619836,606.5287517166046,1792.58984375,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,120,No primary,No secondary,768,229.49721201376437,1620.6679668454412,241026_mACmChPOLR2A_ActivePolII,4.803705341715556,0.024777719610282502,50.57682236305823,0.6962069070149897,95.96432403671162,0.9968086127070602,120,2.0
215,M18,219.11084205649811,258.10472493598223,560.6520611547454,1838.8614762386248,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,120,No primary,No secondary,989,243.82355385601616,1721.7476011681267,241026_mACmChPOLR2A_ActivePolII,71.03227471571418,0.36638754065584855,41.8903882958472,0.5766352314456716,110.29066587896341,1.145620382917404,0,0.0
216,M19,231.88936173674523,193.0093893158912,618.1620945338183,1675.5782945736435,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,120,No primary,No secondary,645,231.17988832574463,1670.9264194669756,241026_mACmChPOLR2A_ActivePolII,5.93693909562316,0.030622988253925537,54.66890797609432,0.7525358366468616,97.64700034869188,1.0142870481258146,120,2.0
217,M20,222.71393303812053,263.7731355328051,607.5416012949249,1740.413988657845,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,120,No primary,No secondary,1058,219.62672337412852,1612.4916911045943,241026_mACmChPOLR2A_ActivePolII,76.70068531253705,0.3956254473160168,45.49347927746962,0.6262329861247236,86.09383539707576,0.8942810516954048,0,0.0
