,EXPERIMENT,WELL,CELL,EU,DRUG,DRUG TIME MINUTES,PRIMARY,SECONDARY,TIME_IN_AUXIN_HRS,TotalNumberCells,Alexa647_Intensity,Alexa647_Intensity_BGS,Alexa647_Intensity_FC
67,241111_mACmChPOLR2A_ActivePolII,F10,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,30,pSer2 3E10,Goat anti-rat Alexa647,0.0,1085,1089.2233345198547,961.5819030033174,1.0271390946650372
68,241111_mACmChPOLR2A_ActivePolII,F11,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,30,pSer2 3E10,Goat anti-rat Alexa647,0.5,1572,1072.6068762292239,944.9654447126866,1.0093897860810557
85,241111_mACmChPOLR2A_ActivePolII,G08,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,60,pSer2 3E10,Goat anti-rat Alexa647,0.0,1225,1089.9981838093465,962.3567522928092,1.0279667703889923
86,241111_mACmChPOLR2A_ActivePolII,G09,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,60,pSer2 3E10,Goat anti-rat Alexa647,1.0,1260,983.8262347056944,856.184803189157,0.9145564001017185
87,241111_mACmChPOLR2A_ActivePolII,G10,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,60,pSer2 3E10,Goat anti-rat Alexa647,0.0,1314,1046.2140392955375,918.5726077790002,0.9811975805611324
88,241111_mACmChPOLR2A_ActivePolII,G11,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,60,pSer2 3E10,Goat anti-rat Alexa647,1.0,1584,1038.6016903073412,910.9602587908039,0.9730662490296328
105,241111_mACmChPOLR2A_ActivePolII,H08,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,90,pSer2 3E10,Goat anti-rat Alexa647,0.0,1472,1034.281123645719,906.6396921291816,0.9684511216906115
106,241111_mACmChPOLR2A_ActivePolII,H09,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,90,pSer2 3E10,Goat anti-rat Alexa647,1.5,1236,982.0098332680985,854.3684017515611,0.9126161629546451
107,241111_mACmChPOLR2A_ActivePolII,H10,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,90,pSer2 3E10,Goat anti-rat Alexa647,0.0,1552,1001.3762458097747,873.7348142932374,0.933302907768413
108,241111_mACmChPOLR2A_ActivePolII,H11,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,90,pSer2 3E10,Goat anti-rat Alexa647,1.5,2057,1046.0479296097067,918.4064980931694,0.981020146115053
125,241111_mACmChPOLR2A_ActivePolII,I08,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,120,pSer2 3E10,Goat anti-rat Alexa647,0.0,1670,1071.2317941895558,943.5903626730185,1.0079209558993485
126,241111_mACmChPOLR2A_ActivePolII,I09,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,120,pSer2 3E10,Goat anti-rat Alexa647,2.0,1538,1073.9265339419435,946.2851024254062,1.0107994133047764
127,241111_mACmChPOLR2A_ActivePolII,I10,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,120,pSer2 3E10,Goat anti-rat Alexa647,0.0,1064,1107.0928927231698,979.4514612066325,1.04622693500156
128,241111_mACmChPOLR2A_ActivePolII,I11,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,120,pSer2 3E10,Goat anti-rat Alexa647,2.0,1633,1038.0096586274492,910.3682271109119,0.9724338547616063
145,241111_mACmChPOLR2A_ActivePolII,J08,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,120,pSer2 3E10,Goat anti-rat Alexa647,0.0,1764,1080.9381035312722,953.2966720147349,1.018289006461293
146,241111_mACmChPOLR2A_ActivePolII,J09,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,120,pSer2 3E10,Goat anti-rat Alexa647,2.0,1782,1129.217301148991,1001.5758696324538,1.0698597059278023
147,241111_mACmChPOLR2A_ActivePolII,J10,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,120,pSer2 3E10,Goat anti-rat Alexa647,0.0,1116,1089.528946716498,961.8875151999607,1.0274655424007926
148,241111_mACmChPOLR2A_ActivePolII,J11,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,120,pSer2 3E10,Goat anti-rat Alexa647,2.0,1775,1039.059082734642,911.4176512181048,0.9735548248256384
165,241111_mACmChPOLR2A_ActivePolII,K08,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,90,pSer2 3E10,Goat anti-rat Alexa647,0.0,1688,1097.7951345614417,970.1537030449044,1.0362952891679353
166,241111_mACmChPOLR2A_ActivePolII,K09,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,90,pSer2 3E10,Goat anti-rat Alexa647,1.5,1426,1002.4497823784844,874.808350861947,0.9344496341947633
167,241111_mACmChPOLR2A_ActivePolII,K10,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,90,pSer2 3E10,Goat anti-rat Alexa647,0.0,1330,1056.927672291166,929.2862407746286,0.9926416304765198
168,241111_mACmChPOLR2A_ActivePolII,K11,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,90,pSer2 3E10,Goat anti-rat Alexa647,1.5,1473,1011.9292777756667,884.2878462591293,0.9445754074541522
185,241111_mACmChPOLR2A_ActivePolII,L08,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,60,pSer2 3E10,Goat anti-rat Alexa647,0.0,1444,995.9942567043122,868.3528251877749,0.9275539940253236
186,241111_mACmChPOLR2A_ActivePolII,L09,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,60,pSer2 3E10,Goat anti-rat Alexa647,1.0,1299,1016.6296241390718,888.9881926225344,0.9495962065075048
187,241111_mACmChPOLR2A_ActivePolII,L10,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,60,pSer2 3E10,Goat anti-rat Alexa647,0.0,1073,1069.1376061248284,941.4961746082911,1.0056839936331659
188,241111_mACmChPOLR2A_ActivePolII,L11,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,60,pSer2 3E10,Goat anti-rat Alexa647,1.0,1040,1008.997029773796,881.3555982572586,0.9414432493420164
205,241111_mACmChPOLR2A_ActivePolII,M08,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,30,pSer2 3E10,Goat anti-rat Alexa647,0.0,1357,1113.5263056938843,985.884874177347,1.0530989549030445
206,241111_mACmChPOLR2A_ActivePolII,M09,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,30,pSer2 3E10,Goat anti-rat Alexa647,0.5,1170,967.5578940269696,839.9164625104322,0.8971789425349134
207,241111_mACmChPOLR2A_ActivePolII,M10,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,30,pSer2 3E10,Goat anti-rat Alexa647,0.0,934,1010.7777752530009,883.1363437364635,0.9433453996358464
208,241111_mACmChPOLR2A_ActivePolII,M11,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,30,pSer2 3E10,Goat anti-rat Alexa647,0.5,1125,1066.783523698724,939.1420921821866,1.0031694183438808
