WELL,CELL,EU,DRUG,DRUG TIME MINUTES,PRIMARY,SECONDARY
J08,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,30,pSer2 3E10,Goat anti-rat Alexa647
J09,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,30,pSer2 3E10,Goat anti-rat Alexa647
J10,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,30,pSer2 3E10,Goat anti-rat Alexa647
J11,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,30,pSer2 3E10,Goat anti-rat Alexa647
J12,HCT116 mChPOLR2A Clone 2,No addition,Vehicle,120,Total Pol II F12,Goat anti-mouse Alexa647
J13,HCT116 mChPOLR2A Clone 2,No addition,Vehicle,120,pSer2 3E10,Goat anti-rat Alexa647
J14,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,30,No primary,No secondary
J15,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,30,No primary,No secondary
J16,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,30,No primary,No secondary
J17,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,30,No primary,No secondary
J18,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,30,No primary,No secondary
J19,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,30,No primary,No secondary
J20,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,30,No primary,No secondary
J21,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,30,No primary,No secondary
J22,HCT116 mChPOLR2A Clone 2,"EU 1 mM, 30 mins",10 µM 5PhIAA,120,No primary,No secondary
K03,HCT116 OsTIRF74G,No addition,No addition,No addition,Total Pol II F12,Goat anti-mouse Alexa647
K04,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,60,Total Pol II F12,Goat anti-mouse Alexa647
K05,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,60,Total Pol II F12,Goat anti-mouse Alexa647
K06,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,60,Total Pol II F12,Goat anti-mouse Alexa647
K07,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,60,Total Pol II F12,Goat anti-mouse Alexa647
K08,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,60,pSer2 3E10,Goat anti-rat Alexa647
K09,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,60,pSer2 3E10,Goat anti-rat Alexa647
K10,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,60,pSer2 3E10,Goat anti-rat Alexa647
K11,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,60,pSer2 3E10,Goat anti-rat Alexa647
K12,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,No addition,Vehicle,120,Total Pol II F12,Goat anti-mouse Alexa647
K13,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,No addition,Vehicle,120,pSer2 3E10,Goat anti-rat Alexa647
K14,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,60,No primary,No secondary
K15,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,60,No primary,No secondary
K16,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,60,No primary,No secondary
K17,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,60,No primary,No secondary
K18,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,60,No primary,No secondary
K19,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,60,No primary,No secondary
K20,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,60,No primary,No secondary
K21,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,60,No primary,No secondary
K22,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,"EU 1 mM, 30 mins",10 µM 5PhIAA,120,No primary,No secondary
L03,HCT116 OsTIRF74G,No addition,No addition,No addition,pSer2 3E10,Goat anti-rat Alexa647
L04,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,90,Total Pol II F12,Goat anti-mouse Alexa647
L05,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,90,Total Pol II F12,Goat anti-mouse Alexa647
L06,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,90,Total Pol II F12,Goat anti-mouse Alexa647
L07,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,90,Total Pol II F12,Goat anti-mouse Alexa647
L08,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,90,pSer2 3E10,Goat anti-rat Alexa647
L09,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,90,pSer2 3E10,Goat anti-rat Alexa647
L10,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,90,pSer2 3E10,Goat anti-rat Alexa647
L11,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,90,pSer2 3E10,Goat anti-rat Alexa647
L12,HCT116 mChPOLR2A Clone 2,No addition,Vehicle,120,Total Pol II F12,Goat anti-mouse Alexa647
