,WELL,IF_647_Intensity,GFP_488_Intensity,DAPI_Intensity,NucleusArea,CELL,DRUG,DRUG TIME MINUTES,PRIMARY,SECONDARY,TotalNumberCells,EXPERIMENT,RFP_561_Intensity
78,F21,290.8264745132788,266.4725614865567,936.1224509173522,1755.095369730477,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,120,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1447,241021_mACmChPOLR2A_TotalPolII,135.83296043790122
79,F22,274.54231055955177,194.0388850227326,966.0239171108534,1680.2101970597435,HCT116 OsTIRF74G,Vehicle,1440,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,3197,241021_mACmChPOLR2A_TotalPolII,122.72425637120134
80,G03,256.6720357667567,194.98495635358415,878.8742445511882,1673.5927354548376,HCT116 OsTIRF74G,Vehicle,1440,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,3111,241021_mACmChPOLR2A_TotalPolII,123.19993359023395
81,G04,274.3754443347155,195.87172787986228,970.2702228407692,1731.6522075910148,HCT116 mChPOLR2A Clone 2,10 µM 5PhIAA,240,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,2582,241021_mACmChPOLR2A_TotalPolII,145.3385382451811
82,G05,176.10068430179493,232.62854188022814,910.4498798594409,1889.990118577075,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,10 µM 5PhIAA,240,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1518,241021_mACmChPOLR2A_TotalPolII,123.65805236736065
83,G06,251.54680787815195,202.8541422220917,867.1687954385642,1797.057168784029,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,240,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1102,241021_mACmChPOLR2A_TotalPolII,139.59320639978074
84,G07,263.2497498078821,193.7591942598047,902.0549163396215,1723.0968762356663,HCT116 mChPOLR2A Clone 2,Vehicle,240,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,2529,241021_mACmChPOLR2A_TotalPolII,145.10683846364472
85,G08,273.40371288495317,380.4128046373017,935.2607807945053,1850.7275467148884,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,Vehicle,240,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1659,241021_mACmChPOLR2A_TotalPolII,123.60380992304297
86,G09,280.67595125190496,262.9701732050803,893.2163743972021,1716.9781746031747,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,240,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1512,241021_mACmChPOLR2A_TotalPolII,137.60004574547344
87,G10,263.18203297432404,194.74221944169028,931.0598625449197,1737.753478415983,HCT116 mChPOLR2A Clone 2,10 µM 5PhIAA,240,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,2803,241021_mACmChPOLR2A_TotalPolII,145.10415628922618
88,G11,168.8547462661969,229.11371634327824,845.7406990100864,1748.3528138528138,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,10 µM 5PhIAA,240,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1386,241021_mACmChPOLR2A_TotalPolII,123.47376840423026
89,G12,267.7856108291085,204.65302288721,954.884492191915,1737.0447368421053,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,240,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1140,241021_mACmChPOLR2A_TotalPolII,138.56428249596016
90,G13,274.93875811907964,193.93693728951706,901.8143773917359,1698.165687426557,HCT116 mChPOLR2A Clone 2,Vehicle,240,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,2553,241021_mACmChPOLR2A_TotalPolII,144.5192694859596
91,G14,273.26556185461504,370.42854493129425,916.044281569689,1869.41840161182,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,Vehicle,240,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1489,241021_mACmChPOLR2A_TotalPolII,123.61307228865911
92,G15,304.2288414895048,270.6606185449156,983.8271240153907,1755.8626506024095,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,240,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1245,241021_mACmChPOLR2A_TotalPolII,136.5744274616692
93,G16,264.4673774292385,194.40732546085576,947.9490264637221,1751.5405866302865,HCT116 mChPOLR2A Clone 2,10 µM 5PhIAA,240,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,2932,241021_mACmChPOLR2A_TotalPolII,144.88637999892345
94,G17,175.40966392703325,238.90604987634663,917.6480361835639,1836.390887290168,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,10 µM 5PhIAA,240,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1251,241021_mACmChPOLR2A_TotalPolII,123.55271033851008
