,index,WELL,IF_647_Intensity,IF_488_Intensity,DAPI_Intensity,NucleusArea,CELL,SIRNA,PRIMARY_1,PRIMARY_2,SECONDARY_1,SECONDARY_2,TotalNumberCells,EXPERIMENT,SIRNA_HUE,IF_647_Intensity_BGS,IF_647_FC
76,76,F19,1899.4135071233127,956.1447911235185,1264.180945580775,1505.6077063106795,HCT116,HEXIM2 #2,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,3296,250822_PTEFB_SIRNA,HEXIM2,1740.308084713136,1.1042976418608785
77,77,F20,1866.9975217096824,958.2977550128023,1372.902643869599,1388.890144665461,HCT116,HEXIM2 #3,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2212,250822_PTEFB_SIRNA,HEXIM2,1707.8920992995056,1.0837283549827055
78,78,F21,1770.8187821769739,926.1393736161833,1094.7083813801912,1702.4557616296747,HCT116,LARP7 #1,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,3289,250822_PTEFB_SIRNA,LARP7,1611.713359766797,1.0226989566847433
79,79,F22,2333.454584764717,1575.2106515115831,1432.502561733241,1564.7182926829269,HCT116,LARP7 #2,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,820,250822_PTEFB_SIRNA,LARP7,2174.34916235454,1.379714703196409
80,80,G03,2237.972029057572,1638.7568061177296,1522.9544466564778,1558.4761904761904,HCT116,LARP7 #2,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,1029,250822_PTEFB_SIRNA,LARP7,2078.866606647395,1.3191270624031235
81,81,G04,1683.8153542965488,1044.24140630469,1143.8397130015564,1592.4785360484316,HCT116,LARP7 #3,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,3634,250822_PTEFB_SIRNA,LARP7,1524.709931886372,0.967491674085695
82,82,G05,1698.6300102913378,971.2424185084286,1132.350154247996,1615.5374958704988,HCT116,No transfection,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,3027,250822_PTEFB_SIRNA,Control,1539.524587881161,0.9768921876061056
83,83,G06,1762.0043717061933,1719.034162836066,1175.8826347543645,1591.3987750935692,HCT116,HEXIM1 pool,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2939,250822_PTEFB_SIRNA,HEXIM1,1602.8989492960166,1.0171058477503092
84,84,G07,1726.7963703376786,977.2418378852161,1274.2864306836607,1460.1413760603205,HCT116,HEXIM2 pool,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,3183,250822_PTEFB_SIRNA,HEXIM2,1567.6909479275018,0.9947649109774422
85,85,G08,1830.3976186444959,1104.8091169603763,1178.166811515217,1556.5849125364432,HCT116,LARP7 pool,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2744,250822_PTEFB_SIRNA,LARP7,1671.2921962343191,1.0605041988679078
