,index,WELL,IF_647_Intensity,IF_488_Intensity,DAPI_Intensity,NucleusArea,CELL,SIRNA,PRIMARY_1,PRIMARY_2,SECONDARY_1,SECONDARY_2,TotalNumberCells,EXPERIMENT,SIRNA_HUE,IF_488_Intensity_BGS,IF_488_FC
55,175,K18,1386.6246656191029,1802.6060224348487,1151.1071882369888,1497.1525061124694,HCT116,HEXIM2 #2,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,3272,250822_PTEFB_SIRNA,HEXIM2,1562.8500942607445,0.9361108370267952
56,176,K19,1665.1641407260545,2156.2736133376193,1417.8243249103496,1369.8378506894912,HCT116,HEXIM2 #3,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,2103,250822_PTEFB_SIRNA,HEXIM2,1916.5176851635151,1.1479494936996513
57,177,K20,1394.0427840984516,2065.291515539005,1201.6729243617078,1669.1413793103447,HCT116,LARP7 #1,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,3480,250822_PTEFB_SIRNA,LARP7,1825.535587364901,1.093453334383104
58,178,K21,1905.3772628493352,3266.0407240334484,1634.5639932965114,1612.2311411992264,HCT116,LARP7 #2,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,1034,250822_PTEFB_SIRNA,LARP7,3026.2847958593443,1.8126741673668862
59,179,K22,1522.9056538282846,1904.603006180737,1195.7738544618676,1629.6519555077143,HCT116,LARP7 #3,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,2787,250822_PTEFB_SIRNA,LARP7,1664.847078006633,0.9972046566958761
60,180,L03,1451.6007609911649,1757.168761521069,1166.551131093718,1652.924304035033,HCT116,LARP7 #3,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,3197,250822_PTEFB_SIRNA,LARP7,1517.4128333469648,0.9088949751201402
61,181,L04,1557.0899429030073,1673.960005063999,1159.6810100280309,1630.5593980147294,HCT116,No transfection,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,3123,250822_PTEFB_SIRNA,Control,1434.2040768898948,0.8590548663720065
62,182,L05,1499.7460775746554,901.2421605646056,1344.3089428435014,1562.19029209622,HCT116,HEXIM1 pool,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,2328,250822_PTEFB_SIRNA,HEXIM1,661.4862323905014,0.3962148596072981
63,183,L06,1583.3877164775083,2291.9929009625175,1295.49206200852,1469.844822058352,HCT116,HEXIM2 pool,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,3119,250822_PTEFB_SIRNA,HEXIM2,2052.2369727884134,1.2292421886329552
64,184,L07,1604.441360783958,2971.833939473079,1374.6263429858575,1542.833910034602,HCT116,LARP7 pool,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,2312,250822_PTEFB_SIRNA,LARP7,2732.078011298975,1.6364511499673557
65,185,L08,1513.26114903366,763.8175936931846,1373.7090957156677,1459.5156638488315,HCT116,HEXIM1 pool + HEXIM2 pool,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,2011,250822_PTEFB_SIRNA,HEXIM1 pool + HEXIM2 pool,524.0616655190804,0.3139007420892633
66,186,L09,1748.8951710375109,2791.6865484404498,1373.1307194977844,1479.074702886248,HCT116,HEXIM2 pool + LARP7 pool,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,1767,250822_PTEFB_SIRNA,HEXIM2 pool + LARP7 pool,2551.9306202663456,1.528547054989189
67,187,L10,1618.3601472847847,990.2006958502396,1399.470171208508,1541.3971631205675,HCT116,HEXIM1 pool + LARP7 pool,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,2115,250822_PTEFB_SIRNA,HEXIM1 pool + LARP7 pool,750.4447676761355,0.44949895206934776
68,188,L11,2262.1157192118353,6078.733940701561,1393.1654932523395,1357.7954644570432,HCT116,INTS8 pool,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,2293,250822_PTEFB_SIRNA,INTS8 pool,5838.9780125274565,3.4974119493358136
69,189,L12,1938.9539245719527,2901.6563093147474,1692.9674431819346,1024.9763872491146,HCT116,SPT5 pool,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,847,250822_PTEFB_SIRNA,SPT5 pool,2661.9003811406433,1.5944163826219007
70,190,L13,1292.24091769657,2877.4581088367,1032.312143605677,1263.6103896103896,HCT116,POLR2B,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,154,250822_PTEFB_SIRNA,POLR2B,2637.7021806625958,1.5799222236573058
71,191,L14,1558.026088222195,2200.1781619803337,1328.563061062612,1500.907955761684,HCT116,Scrambled,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,2803,250822_PTEFB_SIRNA,Control,1960.4222338062295,1.1742472966240296
72,192,L15,1403.0824495899392,875.5058212954689,1076.0713410908854,1794.3611001964637,HCT116,HEXIM1 #1,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,2545,250822_PTEFB_SIRNA,HEXIM1,635.7498931213647,0.38079939130121393
73,193,L16,1393.1839045541967,802.7839826224083,1373.499469023009,1476.712898003238,HCT116,HEXIM1 #2,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,1853,250822_PTEFB_SIRNA,HEXIM1,563.0280544483041,0.33724070226228386
74,194,L17,2194.746836949851,679.9225131704832,1365.2181088707175,1168.572759856631,HCT116,HEXIM1 #3,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,1395,250822_PTEFB_SIRNA,HEXIM1,440.166584996379,0.26364954119741774
75,195,L18,1354.08095885049,1979.969583499691,1082.0489313571459,1579.7096214966773,HCT116,HEXIM2 #1,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,3461,250822_PTEFB_SIRNA,HEXIM2,1740.2136553255868,1.0423474826373895
76,196,L19,1389.6304065767054,1822.314904398595,1160.4744474318827,1550.6321533138141,HCT116,HEXIM2 #2,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,3757,250822_PTEFB_SIRNA,HEXIM2,1582.5589762244908,0.9479159986732626
77,197,L20,1637.0722488469278,2260.6322637041476,1344.3043757668484,1334.8480424684803,HCT116,HEXIM2 #3,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,1507,250822_PTEFB_SIRNA,HEXIM2,2020.8763355300434,1.2104578967156214
78,198,L21,1462.331494506708,1761.354981509959,1119.918975024047,1682.8577075098815,HCT116,LARP7 #1,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,3036,250822_PTEFB_SIRNA,LARP7,1521.599053335855,0.9114024234750202
79,199,L22,1907.3267582211527,3402.1727091916578,1522.3018257178271,1625.2350835322195,HCT116,LARP7 #2,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,838,250822_PTEFB_SIRNA,LARP7,3162.4167810175536,1.8942140585186664
80,200,M03,1949.1134439845566,2692.371711121381,1438.3077394413722,1578.9318918918918,HCT116,LARP7 #2,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,925,250822_PTEFB_SIRNA,LARP7,2452.615782947277,1.4690597786129413
81,201,M04,1452.9208700110617,1981.9689218340163,1193.4203840322386,1633.899365079365,HCT116,LARP7 #3,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,3150,250822_PTEFB_SIRNA,LARP7,1742.2129936599122,1.0435450397725992
82,202,M05,1463.6285801830395,1883.8808643093446,1109.8517524387594,1679.1873324396784,HCT116,No transfection,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,2984,250822_PTEFB_SIRNA,Control,1644.1249361352404,0.9847925759445274
83,203,M06,1437.0693602386432,858.034924568661,1234.5061370627507,1578.568113450795,HCT116,HEXIM1 pool,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,2327,250822_PTEFB_SIRNA,HEXIM1,618.2789963945569,0.3703347307310158
84,204,M07,1586.6979826414804,2088.357603770708,1259.0033287577412,1491.1418244406195,HCT116,HEXIM2 pool,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,2905,250822_PTEFB_SIRNA,HEXIM2,1848.6016755966039,1.1072693844577768
85,205,M08,1631.6222870804233,2848.683893275388,1339.8582272049482,1537.4831111111112,HCT116,LARP7 pool,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,2250,250822_PTEFB_SIRNA,LARP7,2608.927965101284,1.56268713814731
86,206,M09,1527.7787172015462,717.6294142618999,1397.6365904120619,1446.9626604434072,HCT116,HEXIM1 pool + HEXIM2 pool,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,1714,250822_PTEFB_SIRNA,HEXIM1 pool + HEXIM2 pool,477.87348608779575,0.28623509746541614
87,207,M10,1682.4776881244468,2617.0509003589564,1393.8283297617504,1485.062248995984,HCT116,HEXIM2 pool + LARP7 pool,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,2490,250822_PTEFB_SIRNA,HEXIM2 pool + LARP7 pool,2377.294972184852,1.4239443657737452
88,208,M11,1637.7270017985934,942.7923845650744,1353.5161430647322,1542.537106918239,HCT116,HEXIM1 pool + LARP7 pool,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,1590,250822_PTEFB_SIRNA,HEXIM1 pool + LARP7 pool,703.0364563909702,0.4211024768589885
89,209,M12,2305.202960980747,5808.805355860782,1508.5283506906069,1376.2750809061488,HCT116,INTS8 pool,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,1854,250822_PTEFB_SIRNA,INTS8 pool,5569.0494276866775,3.3357310085848817
90,210,M13,1917.5368564395894,2539.044319817861,1666.3766891115267,1048.4074866310161,HCT116,SPT5 pool,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,935,250822_PTEFB_SIRNA,SPT5 pool,2299.2883916437568,1.3772202393382766
