,WELL,IF_561_Intensity,GFP_Intensity,DAPI_Intensity_x,NucleusArea,CELL,EU,DRUG,DRUG TIME HOURS,PRIMARY,SECONDARY,TotalNumberCells,Alexa647_Intensity,DAPI_Intensity_y,NucleusArea2,EXPERIMENT
54,E17,4501.461264997819,178.69018623902818,491.8655248793684,1423.3355795148248,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,"EU 1 mM, 30 mins",10 µM 5PhIAA,8,pSer5 Pol II 3E8,Goat anti-rat Alexa568,742,616.3762535137356,2318.881776240569,1404.8227405247812,260127_ARMC5mAC_PhosphoEU
55,E18,3830.2065650052077,181.25805537500577,507.5547611888845,1412.6965517241379,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,"EU 1 mM, 30 mins",10 µM 5PhIAA,8,pSer5 Pol II 3E8,Goat anti-rat Alexa568,1595,803.9721193837482,2359.521212725187,1333.188988095238,260127_ARMC5mAC_PhosphoEU
56,E19,2724.0998888448626,179.81472431824426,468.5852356988705,1530.1657458563536,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",Vehicle,8,pSer5 Pol II 3E8,Goat anti-rat Alexa568,1629,959.965754108483,2226.882846348942,1429.1322620519159,260127_ARMC5mAC_PhosphoEU
57,E20,3181.4084218423836,209.29623570924718,486.17936175732194,1433.833147942158,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,"EU 1 mM, 30 mins",Vehicle,8,pSer5 Pol II 3E8,Goat anti-rat Alexa568,899,693.7761979978512,2225.1969334641803,1387.064039408867,260127_ARMC5mAC_PhosphoEU
58,E21,3012.13758692235,209.57406197292354,501.0175902331076,1340.5655737704917,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,"EU 1 mM, 30 mins",Vehicle,8,pSer5 Pol II 3E8,Goat anti-rat Alexa568,1220,831.2315347509409,2519.1009723511434,1281.372340425532,260127_ARMC5mAC_PhosphoEU
59,E22,2762.216004756825,181.1081030677271,457.5544244736911,1553.1551956815115,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",No addition,No addition,pSer5 Pol II 3E8,Goat anti-rat Alexa568,1482,683.3273046982453,2179.159022987794,1424.570512820513,260127_ARMC5mAC_PhosphoEU
60,F03,2711.972418002602,178.22100269762527,435.52337813109517,1481.537926675095,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",No addition,No addition,pSer5 Pol II 3E8,Goat anti-rat Alexa568,1582,806.1585656038595,1878.6471879617447,1441.3481301307388,260127_ARMC5mAC_PhosphoEU
61,F04,2668.8406909245004,177.4163103432607,440.88523312453293,1520.0220588235295,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",10 µM 5PhIAA,24,pSer5 Pol II 3E8,Goat anti-rat Alexa568,1496,754.7076376627389,1891.1083140258079,1463.3373108265425,260127_ARMC5mAC_PhosphoEU
62,F05,5136.8394606812735,178.51763483536143,464.2390954013444,1476.3280721533258,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,"EU 1 mM, 30 mins",10 µM 5PhIAA,24,pSer5 Pol II 3E8,Goat anti-rat Alexa568,887,603.6918180841449,2034.9531785920046,1445.3494653911087,260127_ARMC5mAC_PhosphoEU
63,F06,4388.948903177093,179.3318973009489,464.8443086947291,1408.0136054421769,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,"EU 1 mM, 30 mins",10 µM 5PhIAA,24,pSer5 Pol II 3E8,Goat anti-rat Alexa568,1470,751.9047267407957,2149.873943707677,1296.356852950359,260127_ARMC5mAC_PhosphoEU
64,F07,2837.3958637213236,177.13374578845773,455.78872269530467,1483.7675097276265,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",Vehicle,24,pSer5 Pol II 3E8,Goat anti-rat Alexa568,1028,841.2375584165051,2041.3312947341071,1395.8741438356165,260127_ARMC5mAC_PhosphoEU
65,F08,3002.6991649478673,203.7036034327857,470.1959265943042,1432.7509881422925,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,"EU 1 mM, 30 mins",Vehicle,24,pSer5 Pol II 3E8,Goat anti-rat Alexa568,759,665.2875432454898,2090.5043035534254,1390.3680663556247,260127_ARMC5mAC_PhosphoEU
66,F09,2791.853155757524,203.86785669298476,476.0668608025669,1386.1983345950039,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,"EU 1 mM, 30 mins",Vehicle,24,pSer5 Pol II 3E8,Goat anti-rat Alexa568,1321,865.4963754494946,2286.007926108217,1329.1002080443827,260127_ARMC5mAC_PhosphoEU
67,F10,2649.071503284406,178.28487575190843,447.60199760702255,1526.4172989377846,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",10 µM 5PhIAA,24,pSer5 Pol II 3E8,Goat anti-rat Alexa568,1318,757.8686196369533,1995.412602421114,1434.1679214402618,260127_ARMC5mAC_PhosphoEU
68,F11,5123.870449827677,178.76833801496696,468.8631283982938,1451.4179104477612,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,"EU 1 mM, 30 mins",10 µM 5PhIAA,24,pSer5 Pol II 3E8,Goat anti-rat Alexa568,938,598.360875155127,2096.294282862403,1448.592203898051,260127_ARMC5mAC_PhosphoEU
69,F12,4347.261886114063,180.26213890964644,472.4479897067922,1450.668383773342,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,"EU 1 mM, 30 mins",10 µM 5PhIAA,24,pSer5 Pol II 3E8,Goat anti-rat Alexa568,1553,714.6486051481014,2103.7232779254264,1353.9983723958333,260127_ARMC5mAC_PhosphoEU
70,F13,2747.605359525138,178.86585991148124,456.7630240212887,1527.483600837404,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",Vehicle,24,pSer5 Pol II 3E8,Goat anti-rat Alexa568,1433,790.4899445689994,2040.0593502915553,1438.3023175371843,260127_ARMC5mAC_PhosphoEU
71,F14,3129.210683154885,206.56098030264738,474.0366255827198,1378.327142857143,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,"EU 1 mM, 30 mins",Vehicle,24,pSer5 Pol II 3E8,Goat anti-rat Alexa568,700,647.8815776281118,2171.5683170068723,1353.0934937124111,260127_ARMC5mAC_PhosphoEU
72,F15,2817.3360926919345,203.3128316563183,488.02729796216255,1387.0561342592594,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,"EU 1 mM, 30 mins",Vehicle,24,pSer5 Pol II 3E8,Goat anti-rat Alexa568,1728,853.8649272376038,2384.710880455801,1300.0991884580703,260127_ARMC5mAC_PhosphoEU
73,F16,2688.9951661639193,178.86507663942024,456.2524957076639,1491.444669365722,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",10 µM 5PhIAA,24,pSer5 Pol II 3E8,Goat anti-rat Alexa568,1482,765.1667260092398,2048.061083103077,1488.3684065934067,260127_ARMC5mAC_PhosphoEU
74,F17,5255.840778028443,178.68558243478105,456.14543941552233,1463.7860026917901,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,"EU 1 mM, 30 mins",10 µM 5PhIAA,24,pSer5 Pol II 3E8,Goat anti-rat Alexa568,743,572.2783902789406,2096.89011754084,1450.9521850899744,260127_ARMC5mAC_PhosphoEU
75,F18,4644.8747355081,180.760732352471,493.6460661370759,1420.3944742900999,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,"EU 1 mM, 30 mins",10 µM 5PhIAA,24,pSer5 Pol II 3E8,Goat anti-rat Alexa568,1303,729.149254461471,2294.4094932688813,1377.7607713166617,260127_ARMC5mAC_PhosphoEU
76,F19,2715.9135096324685,179.8736906291549,460.2764481784797,1526.3318499682136,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",Vehicle,24,pSer5 Pol II 3E8,Goat anti-rat Alexa568,1573,840.0878109189723,2133.770198791679,1455.3714034057546,260127_ARMC5mAC_PhosphoEU
77,F20,3119.570197774428,209.70640444316751,494.109696731094,1439.360599078341,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,"EU 1 mM, 30 mins",Vehicle,24,pSer5 Pol II 3E8,Goat anti-rat Alexa568,868,712.0338530297821,2259.737620500596,1417.125137816979,260127_ARMC5mAC_PhosphoEU
78,F21,2974.4195639528753,210.46266677934514,488.34513949282245,1387.4363791631085,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,"EU 1 mM, 30 mins",Vehicle,24,pSer5 Pol II 3E8,Goat anti-rat Alexa568,1171,815.7222776194704,2428.6193654035906,1302.578478664193,260127_ARMC5mAC_PhosphoEU
79,F22,2765.116644233021,180.93132439931836,455.76893665149737,1508.0491293532339,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",No addition,No addition,pSer5 Pol II 3E8,Goat anti-rat Alexa568,1608,739.8457695370028,2117.8719880301937,1453.3038688876948,260127_ARMC5mAC_PhosphoEU
80,G03,2748.411842562899,178.65674891807228,441.3342235019523,1554.050873196659,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",No addition,No addition,pSer5 Pol II 3E8,Goat anti-rat Alexa568,1317,753.9629075235672,1976.109623349253,1489.107180385289,260127_ARMC5mAC_PhosphoEU
81,G04,2745.1453129600145,178.3304150224848,447.8822043125229,1492.0737155621741,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",10 µM 5PhIAA,48,pSer5 Pol II 3E8,Goat anti-rat Alexa568,1343,724.1377887095504,1931.231754896074,1432.316965921583,260127_ARMC5mAC_PhosphoEU
82,G05,5152.570138686425,179.40585191007585,449.59478027495317,1531.7907834101381,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,"EU 1 mM, 30 mins",10 µM 5PhIAA,48,pSer5 Pol II 3E8,Goat anti-rat Alexa568,1085,591.2732340083215,1972.8749456763735,1476.3605724838412,260127_ARMC5mAC_PhosphoEU
83,G06,4398.098282028982,179.0813009593973,446.27958254242236,1449.2235855487388,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,"EU 1 mM, 30 mins",10 µM 5PhIAA,48,pSer5 Pol II 3E8,Goat anti-rat Alexa568,1467,710.7474326504325,2075.595595124007,1370.4233807266983,260127_ARMC5mAC_PhosphoEU
