,WELL,CELL_IF_647_Intensity,CELL_IF_561_Intensity,CellArea,NUCLEUS_IF_647_Intensity,NUCLEUS_IF_561_Intensity,Nucleus_DAPI_Intensity,NucleusArea,CYTOPLASM_IF_647_Intensity,CYTOPLASM_IF_561_Intensity,CytoplasmArea,CELL,CELL_STAIN,DRUG,DRUG_TIME_MINUTES,PRIMARY_1,SECONDARY_1,PRIMARY_2,SECONDARY_2,TotalNumberCells,EXPERIMENT
51,G07,311.59826927818557,391.81838490430147,9326.7259696717,384.6341545418762,503.3398315080947,556.658801368897,5427.638705175554,194.7961767561815,206.44611264492147,3358.3453648075974,HCT116,Concanavalin A 488,Vehicle,480,Total Pol II (F12),Goat anti-mouse Alexa647,Total Pol II (D8L4Y),Goat anti-rabbit Alexa568,293785,260306_CytoplasmicPOLR2A
52,G08,330.36585988098597,451.17923520436653,9894.478034908805,412.6571577716929,593.2833750579988,564.072383076894,5902.053913984587,192.48510811693745,205.48321022412193,3383.085503330355,HCT116,Concanavalin A 488,Mg132,480,Total Pol II (F12),Goat anti-mouse Alexa647,Total Pol II (D8L4Y),Goat anti-rabbit Alexa568,275346,260306_CytoplasmicPOLR2A
53,G09,276.61772683799893,320.298839235369,8930.781994310202,300.101654112373,344.2114549109343,536.2145006242346,5459.313684324246,231.64017093055733,270.51354895310027,2960.591450898484,HCT116,Concanavalin A 488,CB6644,480,Total Pol II (F12),Goat anti-mouse Alexa647,Total Pol II (D8L4Y),Goat anti-rabbit Alexa568,277690,260306_CytoplasmicPOLR2A
54,G10,298.52410168427775,348.17426636200173,9053.839825539004,326.7495602090317,377.9549793083001,577.3694356950282,5845.797695064451,240.67394085119767,283.3027646278056,2639.1889994122766,HCT116,Concanavalin A 488,Leptomycin B,480,Total Pol II (F12),Goat anti-mouse Alexa647,Total Pol II (D8L4Y),Goat anti-rabbit Alexa568,226297,260306_CytoplasmicPOLR2A
55,G11,348.9548497107432,438.21098886611406,8649.000457702681,414.2648825583843,534.9651557765437,546.6524704653128,5591.240426676729,205.50913625212362,220.07020314705707,2513.4981761770996,HCT116,Concanavalin A 488,Media only,480,Total Pol II (F12),Goat anti-mouse Alexa647,Total Pol II (D8L4Y),Goat anti-rabbit Alexa568,286212,260306_CytoplasmicPOLR2A
56,G14,302.7885482798357,657.4878980134733,8841.702041007566,356.0704052982142,790.3215985793308,670.4987743662087,5499.22329264293,200.75483241562594,394.3274494285292,2970.5832747665436,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Media only,480,Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,277461,260306_CytoplasmicPOLR2A
57,G15,276.6596104084776,707.1804459679095,11395.705805440688,314.9296728845502,803.0008254109463,723.5509063717507,6165.260458769386,223.74391619882687,575.0613059108483,4552.063092464705,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Mg132 plus CB6644,480,Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,192733,260306_CytoplasmicPOLR2A
58,G16,292.587041504339,772.414588773527,11865.386742939485,341.5975806142084,907.2364354723377,689.6384450801245,6243.242694144757,234.41095150325577,612.7341998856829,5184.891845392264,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Mg132 plus leptomycin B,480,Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,161001,260306_CytoplasmicPOLR2A
59,G17,291.34921632369685,636.7835210285125,10338.193239913477,355.43579170069194,801.9681825407358,646.521574392676,5952.779584312988,191.05090084728386,371.41575910165466,3750.62046835324,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Vehicle,480,Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,265825,260306_CytoplasmicPOLR2A
60,G18,285.2914837950327,638.6724058162131,15660.813530299243,397.16638937646394,943.8663846600302,684.9140228078775,6931.644850470663,184.26953364384784,358.4260287848365,7900.424430066921,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Mg132,480,Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,108039,260306_CytoplasmicPOLR2A
61,G19,243.12466317096482,509.99850392576036,11242.233879233036,267.62686089332215,548.9705342678205,650.0871551391472,6170.392188367426,206.47879014372492,449.6432190947778,4483.433947559465,HCT116 mChPOLR2A clone 2,Concanavalin A 488,CB6644,480,Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,187336,260306_CytoplasmicPOLR2A
62,G20,230.2798027231871,481.15438126844117,11308.189361070748,243.5056120257259,501.01040798716355,578.1929025014234,6441.60024967767,210.25153848486224,450.0671248553146,4272.14676237644,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Leptomycin B,480,Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,195452,260306_CytoplasmicPOLR2A
63,G21,266.85032189645904,541.5649100782235,11162.438408048527,328.2085376331441,694.1029588057183,603.4346396714565,6084.733407308773,182.86152505508616,326.10535187373154,4397.952946688366,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Media only,480,Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,202770,260306_CytoplasmicPOLR2A
64,H04,146.6630830766724,121.24811171285467,10086.039599886435,146.76060062483418,121.33656369461528,570.2838822701419,5707.201842563294,146.9065161203262,121.40651463239983,3744.983458900305,HCT116,Concanavalin A 488,Media only,480,No primary,Goat anti-mouse Alexa647,No primary,Goat anti-rabbit Alexa568,243031,260306_CytoplasmicPOLR2A
65,H05,332.1584058920425,121.51836893919845,10155.440413892036,420.6215113344638,121.6419469753636,575.0827099702482,5656.528013683223,197.85863358541923,121.63617689092946,3947.772949320295,HCT116,Concanavalin A 488,Media only,480,Total Pol II (F12),Goat anti-mouse Alexa647,No primary,Goat anti-rabbit Alexa568,235617,260306_CytoplasmicPOLR2A
66,H06,148.1326829185416,442.9663984044002,8444.214659300891,148.6232637509693,549.8585122753753,551.5336607926281,5376.153523999514,147.53466034968804,218.44909897684568,2536.5051950460042,HCT116,Concanavalin A 488,Media only,480,No primary,Goat anti-mouse Alexa647,Total Pol II (D8L4Y),Goat anti-rabbit Alexa568,312798,260306_CytoplasmicPOLR2A
67,H07,146.55547316684832,143.65456498816957,9347.35264600316,146.6954058508299,148.00694083788292,527.2636260457522,5502.091837370269,146.81023624739439,135.35693885620663,3340.056069418167,HCT116,Concanavalin A 488,Media only,480,No primary,Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,256878,260306_CytoplasmicPOLR2A
68,H08,309.3813664989115,140.89532540928428,8442.123989173406,367.06802358486294,143.37741326028123,534.6983193853378,5348.941787054753,194.7577568700329,134.94291373065084,2599.0990893394046,HCT116,Concanavalin A 488,Media only,480,Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,300002,260306_CytoplasmicPOLR2A
